,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
0,1990,1055.0,1128.0,0.0,0.0,764.0,0.0,0.0,0.0,0.0,0.6773049645390071,764.0
1,1991,945.0,1015.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,0.6798029556650246,690.0
2,1992,789.0,703.0,131.0,0.0,478.0,0.0,0.0,0.0,0.0,0.6799431009957326,478.0
3,1993,780.0,695.0,130.0,0.0,475.0,0.0,0.0,0.0,0.0,0.6834532374100719,475.0
4,1994,770.0,687.0,128.0,0.0,472.0,0.0,0.0,0.0,0.0,0.6870451237263464,472.0
5,1995,753.0,675.0,120.0,0.0,466.0,0.0,0.0,0.0,0.0,0.6903703703703704,466.0
6,1996,743.0,675.0,110.0,0.0,475.0,0.0,0.0,0.0,0.0,0.7037037037037037,475.0
7,1997,728.0,670.0,100.0,0.0,485.0,0.0,0.0,0.0,0.0,0.7238805970149254,485.0
8,1998,719.0,665.0,95.0,0.0,495.0,0.0,0.0,0.0,0.0,0.7443609022556391,495.0
9,1999,739.0,685.0,95.0,0.0,505.0,0.0,0.0,0.0,0.0,0.7372262773722628,505.0
10,2000,741.7,687.7,95.0,0.0,515.7,0.0,0.0,0.0,0.0,0.7498909408172169,515.7
11,2001,745.1,691.1,95.0,0.0,503.2,0.0,0.0,0.0,0.0,0.7281145999131818,503.2
12,2002,782.2,722.2,100.0,0.0,571.0,0.0,0.0,0.0,0.0,0.7906397119911381,571.0
13,2003,1032.0,976.0,100.0,0.0,647.0,0.0,0.0,0.0,0.0,0.6629098360655737,647.0
14,2004,836.0,780.0,100.0,0.0,565.0,0.0,0.0,0.0,0.0,0.7243589743589743,565.0
15,2005,993.0,906.0,137.0,0.0,671.0,0.0,0.0,0.0,0.0,0.7406181015452539,671.0
16,2006,1455.0,913.0,594.0,0.0,646.0,0.0,0.0,0.0,0.0,0.7075575027382256,646.0
17,2007,1682.0,950.0,785.0,0.0,684.0,0.0,0.0,0.0,0.0,0.72,684.0
18,2008,1568.0,788.0,835.0,0.0,541.0,0.0,0.0,0.0,0.0,0.6865482233502538,541.0
19,2009,1793.0,889.0,957.0,0.0,775.0,0.0,0.0,0.0,0.0,0.8717660292463442,775.0
20,2010,2732.0,892.0,1867.0,0.0,767.0,0.0,0.0,0.0,0.0,0.8598654708520179,767.0
21,2011,3451.0,1005.0,2732.0,0.0,829.0,0.0,0.0,0.0,0.0,0.8248756218905473,829.0
22,2012,3887.0,1022.0,3071.0,0.0,878.0,0.0,0.0,0.0,0.0,0.8590998043052838,878.0
23,2013,4371.4,1022.3,3615.2,0.0,803.9,0.0,0.0,0.0,0.0,0.7863640809938375,803.9
24,2014,4486.8,1049.3,3710.8,0.0,895.3,0.0,0.0,0.0,0.0,0.8532354903268846,895.3
