,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
25,1990,3299.0,3197.0,591.0,489.0,2801.0,0.0,0.0,0.0,0.0,0.876133875508289,2801.0
26,1991,2409.0,3752.0,0.0,1173.0,3567.0,0.0,0.0,0.0,0.0,0.9506929637526652,3567.0
27,1992,2677.0,3357.0,0.0,510.0,3219.0,0.0,0.0,0.0,0.0,0.9588918677390528,3219.0
28,1993,3173.0,3484.0,0.0,141.0,3314.0,0.0,0.0,0.0,0.0,0.9512055109070034,3314.0
29,1994,3680.0,3903.0,0.0,185.0,3771.0,0.0,0.0,0.0,0.0,0.9661798616448886,3771.0
30,1995,4308.0,4414.0,0.0,74.0,4204.0,0.0,0.0,0.0,0.0,0.9524241051200725,4204.0
31,1996,5649.0,5926.0,150.0,380.0,5726.0,0.0,0.0,0.0,0.0,0.9662504218697267,5726.0
32,1997,5017.0,5184.0,711.0,839.0,5028.0,0.0,0.0,0.0,0.0,0.9699074074074074,5028.0
33,1998,5425.0,5068.0,1069.0,690.0,4921.0,0.0,0.0,0.0,0.0,0.9709944751381215,4921.0
34,1999,5642.0,5397.0,1114.0,755.0,5284.0,0.0,0.0,0.0,0.0,0.9790624420974615,5284.0
35,2000,5709.0,4738.0,1221.0,222.0,4594.0,0.0,0.0,0.0,0.0,0.9696074292950612,4594.0
36,2001,5414.0,3692.0,1820.0,69.0,3555.0,0.0,0.0,0.0,0.0,0.9628927410617552,3555.0
37,2002,5756.0,3686.0,2163.0,58.0,3512.0,0.0,0.0,0.0,0.0,0.9527943570265871,3512.0
38,2003,6106.0,5230.0,1242.0,326.0,5169.0,0.0,0.0,0.0,0.0,0.9883365200764819,5169.0
39,2004,5687.0,5559.0,477.0,274.0,5466.0,0.0,0.0,0.0,0.0,0.9832703723691312,5466.0
40,2005,5797.0,5443.0,371.0,0.0,5373.0,0.0,0.0,0.0,0.0,0.9871394451589197,5373.0
41,2006,6100.0,5524.0,611.0,0.0,5431.0,0.0,0.0,0.0,0.0,0.9831643736422881,5431.0
42,2007,5726.0,2946.0,2935.0,107.0,2874.0,0.0,0.0,0.0,0.0,0.9755600814663951,2874.0
43,2008,6230.23,3796.51,2433.72,0.0,3796.51,0.0,0.0,0.0,0.0,1.0,3796.51
44,2009,6629.26,5231.36,1885.19,486.42,5230.49,0.0,0.0,0.0,0.0,0.9998336952532421,5230.49
45,2010,6794.28,7744.17,1985.21,2934.23,7743.3,0.0,0.0,0.0,0.0,0.9998876574248757,7743.3
46,2011,7187.87,4217.3,3262.0,232.13,4158.0,0.0,0.0,0.0,0.0,0.9859388708415336,4158.0
47,2012,7263.0,4725.0,2538.0,0.0,4725.0,0.0,0.0,0.0,0.0,1.0,4725.0
48,2013,9278.53,6956.0,2322.53,0.0,6956.0,0.0,0.0,0.0,0.0,1.0,6956.0
49,2014,7791.43,4724.43,3250.45,183.45,4724.43,0.0,0.0,0.0,0.0,1.0,4724.43
