,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
50,1990,14868.0,16104.0,205.0,303.0,135.0,0.0,0.0,0.0,0.0,0.00838301043219076,135.0
51,1991,15494.0,17345.0,135.0,796.0,293.0,0.0,0.0,0.0,0.0,0.01689247621793024,293.0
52,1992,16190.0,18286.0,133.0,1061.0,199.0,0.0,0.0,0.0,0.0,0.010882642458711582,199.0
53,1993,16935.0,19415.0,83.0,1324.0,353.0,0.0,0.0,0.0,0.0,0.01818181818181818,353.0
54,1994,17470.0,19888.0,67.0,1191.0,166.0,0.0,0.0,0.0,0.0,0.0083467417538214,166.0
55,1995,18212.0,19714.0,218.0,491.0,193.0,0.0,0.0,0.0,0.0,0.00978999695647763,193.0
56,1996,19259.0,20654.0,280.0,422.0,130.0,0.0,0.0,0.0,0.0,0.006294180304057325,130.0
57,1997,20051.0,21489.0,312.0,312.0,75.0,0.0,0.0,0.0,0.0,0.0034901577551305317,75.0
58,1998,21610.0,23615.0,255.0,262.0,100.0,0.0,0.0,0.0,0.0,0.004234596654668642,100.0
59,1999,22601.0,24654.0,175.0,210.0,100.0,0.0,0.0,0.0,0.0,0.004056136935182932,100.0
60,2000,23142.0,25412.0,223.0,319.0,54.0,0.0,0.0,0.0,0.0,0.002124980324256257,54.0
61,2001,24460.0,26624.0,210.0,196.0,69.0,0.0,0.0,0.0,0.0,0.0025916466346153845,69.0
62,2002,25542.0,27647.0,237.0,259.0,57.0,0.0,0.0,0.0,0.0,0.0020617065142691793,57.0
63,2003,27367.0,29571.0,223.0,212.0,265.0,0.0,0.0,0.0,0.0,0.008961482533563289,265.0
64,2004,29587.0,31250.0,211.0,197.0,251.0,0.0,0.0,0.0,0.0,0.008032,251.0
65,2005,31129.0,32875.0,248.0,275.0,555.0,0.0,0.0,0.0,0.0,0.01688212927756654,555.0
66,2006,32766.0,35226.0,382.0,300.0,218.0,0.0,0.0,0.0,0.0,0.006188610685289275,218.0
67,2007,34455.0,37196.0,279.0,273.0,226.0,0.0,0.0,0.0,0.0,0.006075922142165824,226.0
68,2008,37827.0,40236.0,274.0,323.0,283.0,0.0,0.0,0.0,0.0,0.0070335023362163235,283.0
69,2009,36336.0,38501.0,330.0,362.0,306.0,0.0,0.0,0.0,0.0,0.007947845510506221,306.0
70,2010,43162.0,45734.0,736.0,803.0,174.0,0.0,0.0,0.0,0.0,0.003804609262255652,174.0
71,2011,46540.0,51224.0,657.0,799.0,502.0,0.0,0.0,0.0,0.0,0.009800093706075277,502.0
72,2012,52595.0,57397.0,936.0,985.0,622.0,0.0,0.0,0.0,0.0,0.010836803317246546,622.0
73,2013,54928.0,59890.0,295.0,384.0,330.0,0.0,0.0,0.0,0.0,0.0055101018533978965,330.0
74,2014,57484.0,64242.0,686.0,877.0,254.0,0.0,0.0,0.0,0.0,0.003953799694903646,254.0
