,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
75,1990,98.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1991,106.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1992,106.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1993,119.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1994,125.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1995,130.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1996,134.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1997,141.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1998,148.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1999,154.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2000,161.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2001,162.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2002,170.0,178.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2003,180.5,188.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2004,181.1,188.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2005,181.7,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2006,181.3,188.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2007,177.9,185.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2008,181.5,188.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2009,171.5,178.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2010,154.0,159.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2011,148.4,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2012,148.9,156.6,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.007024265644955301,1.1
98,2013,149.47899999999998,156.441,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.007031404810759328,1.1
99,2014,147.364,156.945,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.007008824747523019,1.1
