,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
100,1990,310.0,120.0,190.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,120.0
101,1991,310.0,120.0,190.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,120.0
102,1992,310.0,120.0,190.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,120.0
103,1993,304.0,120.0,184.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,120.0
104,1994,312.0,120.0,192.0,0.0,120.0,0.0,0.0,0.0,0.0,1.0,120.0
105,1995,324.0,124.0,200.0,0.0,124.0,0.0,0.0,0.0,0.0,1.0,124.0
106,1996,335.0,110.0,225.0,0.0,110.0,0.0,0.0,0.0,0.0,1.0,110.0
107,1997,350.0,100.0,250.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,100.0
108,1998,370.0,90.0,280.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,90.0
109,1999,393.5,80.0,313.5,0.0,80.0,0.0,0.0,0.0,0.0,1.0,80.0
110,2000,412.6,80.0,332.6,0.0,80.0,0.0,0.0,0.0,0.0,1.0,80.0
111,2001,439.7,80.0,359.7,0.0,80.0,0.0,0.0,0.0,0.0,1.0,80.0
112,2002,463.3,80.0,383.3,0.0,80.0,0.0,0.0,0.0,0.0,1.0,80.0
113,2003,492.4,80.0,412.4,0.0,80.0,0.0,0.0,0.0,0.0,1.0,80.0
114,2004,525.5,94.0,431.5,0.0,93.0,0.0,0.0,0.0,0.0,0.9893617021276596,93.0
115,2005,535.6,85.0,450.6,0.0,84.0,0.0,0.0,0.0,0.0,0.9882352941176471,84.0
116,2006,555.6,74.0,481.6,0.0,70.0,0.0,0.0,0.0,0.0,0.9459459459459459,70.0
117,2007,576.7,76.0,500.7,0.0,57.0,0.0,0.0,0.0,0.0,0.75,57.0
118,2008,590.8,78.7,512.1,0.0,63.0,0.0,0.0,0.0,0.0,0.8005082592121981,63.0
119,2009,587.2,81.0,506.2,0.0,62.0,0.0,0.0,0.0,0.0,0.7654320987654321,62.0
120,2010,584.1,112.7,471.3,0.0,100.0,0.0,0.0,0.0,0.0,0.8873114463176575,100.0
121,2011,557.4,91.2,466.2,0.0,78.9,0.0,0.0,0.0,0.0,0.8651315789473685,78.9
122,2012,561.8,87.9,473.9,0.0,76.2,0.0,0.0,0.0,0.0,0.8668941979522184,76.2
123,2013,550.0,114.7,438.3,3.0,101.8,0.0,0.0,0.0,0.0,0.8875326939843068,101.8
124,2014,542.0,126.8,415.2,0.0,113.4,0.0,0.0,0.0,0.0,0.8943217665615143,113.4
