,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
125,1990,800.0,841.0,0.0,0.0,725.0,0.0,0.0,0.0,0.0,0.8620689655172413,725.0
126,1991,893.0,934.0,0.0,0.0,772.0,0.0,0.0,0.0,0.0,0.8265524625267666,772.0
127,1992,907.0,947.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.8870116156282999,840.0
128,1993,909.0,950.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,0.9368421052631579,890.0
129,1994,913.0,955.0,0.0,0.0,895.0,0.0,0.0,0.0,0.0,0.93717277486911,895.0
130,1995,918.0,960.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.9375,900.0
131,1996,982.0,1028.0,0.0,0.0,925.0,0.0,0.0,0.0,0.0,0.8998054474708171,925.0
132,1997,1083.0,1146.0,0.0,0.0,875.0,0.0,0.0,0.0,0.0,0.7635253054101222,875.0
133,1998,1249.0,1318.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.8042488619119879,1060.0
134,1999,1265.0,1335.0,0.0,0.0,894.0,0.0,0.0,0.0,0.0,0.6696629213483146,894.0
135,2000,1368.0,1445.0,0.0,0.0,912.0,0.0,0.0,0.0,0.0,0.6311418685121107,912.0
136,2001,1551.0,1638.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.6208791208791209,1017.0
137,2002,1671.0,1765.0,0.0,0.0,1143.0,0.0,0.0,0.0,0.0,0.6475920679886685,1143.0
138,2003,1889.0,1995.0,0.0,0.0,1241.0,0.0,0.0,0.0,0.0,0.6220551378446115,1241.0
139,2004,2121.0,2240.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.78125,1750.0
140,2005,2492.0,2632.0,0.0,0.0,2219.0,0.0,0.0,0.0,0.0,0.8430851063829787,2219.0
141,2006,3141.0,3306.0,0.0,0.0,2665.0,0.0,0.0,0.0,0.0,0.8061101028433152,2665.0
142,2007,3056.0,3217.0,0.0,0.0,2497.0,0.0,0.0,0.0,0.0,0.776188995958968,2497.0
143,2008,3948.0,4156.0,0.0,0.0,3134.0,0.0,0.0,0.0,0.0,0.7540904716073147,3134.0
144,2009,4498.0,4735.0,0.0,0.0,3094.0,0.0,0.0,0.0,0.0,0.6534318901795143,3094.0
145,2010,5313.0,5449.0,0.0,0.0,3703.0,0.0,0.0,0.0,0.0,0.6795742338043678,3703.0
146,2011,5512.0,5651.0,0.0,0.0,4007.0,0.0,0.0,0.0,0.0,0.7090780392850823,4007.0
147,2012,6051.0,6204.0,0.0,0.0,3772.0,0.0,0.0,0.0,0.0,0.6079948420373952,3772.0
148,2013,8013.0,8216.0,0.0,0.0,4767.0,0.0,0.0,0.0,0.0,0.5802093476144109,4767.0
149,2014,9246.0,9480.0,0.0,0.0,5041.0,0.0,0.0,0.0,0.0,0.5317510548523207,5041.0
