,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
150,1990,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1991,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1992,19.5,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1993,27.2,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1994,25.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1995,22.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1996,24.6,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1997,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1998,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,1999,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,2000,45.8,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,2001,53.6,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,2002,55.3,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2003,58.4,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,2004,60.7,62.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,2005,70.6,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2006,78.3,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2007,87.9,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2008,88.3,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2009,90.0,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2010,96.6,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2011,92.4,95.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,2012,86.9,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2013,86.1,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,2014,86.7,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
