,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
175,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
176,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
177,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
178,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
179,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
180,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
181,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
182,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
183,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
184,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
185,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
186,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
187,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
188,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
189,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
190,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
191,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
192,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
