,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
193,1990,92.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1991,92.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,1992,92.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1993,92.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1994,94.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,1995,95.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,1996,106.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1997,117.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,1998,127.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,1999,137.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,2000,147.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,2001,168.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,2002,187.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,2003,207.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2004,217.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,2005,238.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,2006,253.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,2007,279.4,285.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,2008,290.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,2009,320.4,327.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,2010,319.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,2011,318.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2012,320.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2013,323.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,2014,329.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
