,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
218,1990,50403.0,50907.0,890.0,54.0,18133.0,0.0,0.0,0.0,0.0,0.35619855815506707,18133.0
219,1991,53371.0,54048.0,885.0,10.0,16431.0,0.0,0.0,0.0,0.0,0.3040075488454707,16431.0
220,1992,56986.0,56273.0,2602.0,10.0,19571.0,0.0,0.0,0.0,0.0,0.3477866827785972,19571.0
221,1993,60984.0,61869.0,1485.0,24.0,24159.0,0.0,0.0,0.0,0.0,0.3904863501915337,24159.0
222,1994,64373.0,65686.0,1188.0,20.0,27667.0,0.0,0.0,0.0,0.0,0.42120086472003165,27667.0
223,1995,66937.0,67085.0,2342.0,220.0,26986.0,0.0,0.0,0.0,0.0,0.4022657822165909,26986.0
224,1996,70926.0,69902.0,3663.0,300.0,22985.0,10.0,0.0,0.0,0.0,0.32896054476266773,22995.0
225,1997,75237.0,73015.0,5446.0,277.0,28181.0,15.0,0.0,0.0,0.0,0.38616722591248376,28196.0
226,1998,79963.0,74456.0,8064.0,63.0,26592.0,33.0,0.0,0.0,0.0,0.35759374664231225,26625.0
227,1999,83634.0,81177.0,6434.0,1080.0,21669.0,35.0,0.0,0.0,0.0,0.26736637224829696,21704.0
228,2000,87640.0,89200.0,7249.0,6022.0,28841.0,35.0,0.0,0.0,0.0,0.3237219730941704,28876.0
229,2001,89330.0,90324.0,7416.0,5661.0,37046.0,49.0,0.0,0.0,0.0,0.4106881891855985,37095.0
230,2002,88359.0,85055.0,8775.0,2856.0,35888.0,73.0,0.0,0.0,0.0,0.42279701369701955,35961.0
231,2003,94839.0,92609.0,7578.0,2543.0,33841.0,78.0,0.0,0.0,0.0,0.36626029867507476,33919.0
232,2004,100663.0,100260.0,7612.0,4143.0,30525.0,72.0,0.0,0.0,0.0,0.3051765409934171,30597.0
233,2005,107395.0,107053.0,8017.0,4140.0,34263.0,75.0,0.0,0.0,0.0,0.3207570082108862,34338.0
234,2006,113709.0,115197.0,7417.0,5059.0,38157.0,70.0,0.0,0.0,0.0,0.3318402388951101,38227.0
235,2007,111061.0,107711.0,10281.0,2628.0,30707.0,61.0,0.0,0.0,0.0,0.28565327589568384,30768.0
236,2008,123319.0,121927.0,8458.0,2975.0,30740.0,42.0,0.0,0.0,0.0,0.25246253906025734,30782.0
237,2009,124368.0,122348.08,8600.0,2445.0,34295.0,36.0,0.08,0.0,0.0,0.28060170621394304,34331.08
238,2010,129565.0,125594.09,10299.0,1701.0,33918.0,25.0,0.09,0.0,0.0,0.27026024871074744,33943.09
239,2011,134694.0,129892.0,10929.0,1262.0,31901.0,26.0,2.0,0.0,0.0,0.24581190527515168,31929.0
240,2012,138179.0,135207.0,8116.0,506.0,29716.0,369.0,8.0,0.0,0.0,0.22256983736049168,30093.0
241,2013,144119.0,140863.0,8303.0,247.0,33422.0,461.0,15.0,0.0,0.0,0.2406451658703847,33898.0
242,2014,147001.0,141586.0,10024.0,166.0,41348.0,730.0,16.0,0.0,0.0,0.2973034057039538,42094.0
