,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
243,1992,8806.0,9003.0,335.0,52.0,3043.0,0.0,0.0,0.0,0.0,0.3379984449627902,3043.0
244,1993,6212.0,6294.0,114.0,0.0,4292.0,0.0,0.0,0.0,0.0,0.6819192882109946,4292.0
245,1994,5477.0,5658.0,16.0,0.0,3514.0,0.0,0.0,0.0,0.0,0.6210675150229763,3514.0
246,1995,5244.0,5561.0,13.0,0.0,1919.0,0.0,0.0,0.0,0.0,0.34508181981657976,1919.0
247,1996,5763.0,6215.0,0.0,0.0,1573.0,0.0,0.0,0.0,0.0,0.25309734513274335,1573.0
248,1997,5514.0,6022.0,67.0,124.0,1390.0,0.0,0.0,0.0,0.0,0.2308203254732647,1390.0
249,1998,5375.0,6191.0,28.0,387.0,1537.0,0.0,0.0,0.0,0.0,0.24826360846389922,1537.0
250,1999,5076.0,5717.0,463.0,704.0,1200.0,0.0,0.0,0.0,0.0,0.2099002973587546,1200.0
251,2000,5103.0,5958.0,352.0,815.0,1261.0,0.0,0.0,0.0,0.0,0.211648204095334,1261.0
252,2001,4982.0,5745.0,330.0,701.0,968.0,0.0,0.0,0.0,0.0,0.16849434290687554,968.0
253,2002,4830.0,5519.0,306.0,660.0,1658.0,0.0,0.0,0.0,0.0,0.3004167421634354,1658.0
254,2003,4912.0,5501.0,307.0,583.0,1982.0,0.0,0.0,0.0,0.0,0.36029812761316127,1982.0
255,2004,4939.0,6030.0,260.0,1012.0,2014.0,0.0,0.0,0.0,0.0,0.3339966832504146,2014.0
256,2005,5130.0,6317.0,338.0,1151.0,1773.0,0.0,0.0,0.0,0.0,0.28067120468576856,1773.0
257,2006,5203.0,5941.0,355.0,754.0,1825.0,0.0,0.0,0.0,0.0,0.30718734219828314,1825.0
258,2007,5650.8,5898.0,400.37,322.57,1856.0,0.0,0.0,0.0,0.0,0.3146829433706341,1856.0
259,2008,5485.27,6114.0,338.0,631.73,1797.0,2.0,0.0,0.0,0.0,0.2942427216225057,1799.0
260,2009,5347.48,5672.0,295.3,324.82,2020.0,4.0,0.0,0.0,0.0,0.35684062059238364,2024.0
261,2010,5380.64,6491.0,246.0,1077.36,2556.0,7.0,0.0,0.0,0.0,0.39485441380372827,2563.0
262,2011,5777.46,7433.0,204.53,1533.07,2489.0,6.0,0.0,0.0,0.0,0.3356652764697968,2495.0
263,2012,6100.97,8036.0,98.12,1696.15,2311.0,4.0,0.0,0.0,0.0,0.2880786460925834,2315.0
264,2013,6215.733,7710.0,147.673,1312.94,2173.0,4.0,0.0,0.0,0.0,0.28236057068741893,2177.0
265,2014,6281.14,7750.0,205.75,1313.61,1992.0,4.0,0.0,0.0,0.0,0.2575483870967742,1996.0
