,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
266,1990,338.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1991,339.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,1992,341.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,1993,531.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,1994,564.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,1995,616.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1996,642.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,1997,675.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,1998,730.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,1999,737.8,737.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,2000,776.6,776.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,2001,808.3,808.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,2002,824.7,824.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,2003,841.8,841.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,2004,865.8,865.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,2005,910.5,910.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,2006,909.5,909.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2007,936.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,2008,913.6,913.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,2009,924.3,924.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,2010,940.2,940.2,0.0,0.0,0.0,106.5,0.0,0.0,0.0,0.11327377153797064,106.5
287,2011,930.5,930.5,0.0,0.0,0.0,112.6,0.0,0.0,0.0,0.12101020956475013,112.6
288,2012,914.5,914.5,0.0,0.0,0.0,136.4,0.0,0.0,0.0,0.14915254237288136,136.4
289,2013,928.1,928.1,0.0,0.0,0.0,138.4,0.0,0.0,0.0,0.14912186186833315,138.4
290,2014,916.6,916.6,0.0,0.0,0.0,138.4,0.0,0.0,0.0,0.15099279947632555,138.4
