,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
291,1990,143840.0,155019.0,0.0,0.0,14880.0,0.0,0.0,0.0,0.0,0.09598823370038512,14880.0
292,1991,146470.0,156818.0,0.0,0.0,16103.0,0.0,0.0,0.0,0.0,0.10268591615758395,16103.0
293,1992,148523.0,159545.0,0.0,0.0,15768.0,0.0,0.0,0.0,0.0,0.09883105080071453,15768.0
294,1993,152606.0,163650.0,0.0,0.0,16953.0,0.0,11.0,0.0,0.0,0.10366025053467767,16964.0
295,1994,156615.0,167463.0,0.0,0.0,16649.0,4.0,13.0,0.0,0.0,0.099520491093555,16666.0
296,1995,161732.0,173159.0,0.0,0.0,16239.0,7.0,16.0,0.0,0.0,0.09391368626522445,16262.0
297,1996,165963.0,177598.0,0.0,0.0,15731.0,7.0,19.0,0.0,0.0,0.08872284597799525,15757.0
298,1997,171242.0,182939.0,0.0,0.0,16852.0,7.0,23.0,0.0,0.0,0.09228212682916163,16882.0
299,1998,182365.0,195369.0,0.0,0.0,15733.0,8.0,28.0,0.0,0.0,0.0807139310740189,15769.0
300,1999,189494.0,203987.0,0.0,0.0,16563.0,28.0,34.0,0.0,0.0,0.08150029168525445,16625.0
301,2000,194832.0,210224.0,0.0,0.0,16720.0,58.0,38.0,0.0,0.0,0.07999086688484663,16816.0
302,2001,206186.0,224635.0,0.0,0.0,16933.0,210.0,44.0,0.0,0.0,0.07651078416097225,17187.0
303,2002,212804.0,227555.0,0.0,0.0,16054.0,364.0,50.0,0.0,0.0,0.07236931730790358,16468.0
304,2003,208306.0,222121.0,0.0,0.0,16490.0,703.0,59.0,0.0,0.0,0.07766937840186205,17252.0
305,2004,215609.0,229784.0,0.0,0.0,16331.0,705.0,69.0,0.0,0.0,0.0744394735925913,17105.0
306,2005,214012.0,228650.0,0.0,0.0,15612.0,885.0,79.0,0.0,0.0,0.07249507981631315,16576.0
307,2006,218215.0,232830.0,0.0,0.0,16029.0,1713.0,91.0,1.0,0.0,0.07659665850620624,17834.0
308,2007,226764.0,243157.0,0.0,0.0,14517.0,2611.0,109.0,1.0,0.0,0.07089246865194093,17238.0
309,2008,227821.0,243221.0,0.0,0.0,12057.0,3093.0,127.0,1.0,0.0,0.0628152996657361,15278.0
310,2009,232028.0,248754.0,0.0,0.0,11869.0,3824.0,160.0,1.0,0.0,0.06373364850414466,15854.0
311,2010,237339.0,252698.0,0.0,0.0,13549.0,5052.0,426.0,1.0,0.0,0.07529936920751253,19028.0
312,2011,240790.0,253958.0,0.0,0.0,16807.0,6085.0,1530.0,1.0,0.0,0.09616944534135566,24423.0
313,2012,236716.0,251165.0,0.0,0.0,14083.0,6970.0,2559.0,1.0,0.0,0.09401389524814364,23613.0
314,2013,235703.0,249720.0,0.0,0.0,18270.0,7960.0,3826.0,1.0,0.0,0.12036280634310427,30057.0
315,2014,233408.0,248299.0,0.0,0.0,18421.0,10252.0,4858.0,1.0,0.0,0.13504685882746206,33532.0
