,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
316,1990,46489.0,50294.0,6839.0,7298.0,32507.0,0.0,0.0,0.0,0.0,0.6463395236012248,32507.0
317,1991,48793.0,51483.0,8503.0,7738.0,32745.0,0.0,0.0,0.0,0.0,0.6360351960841443,32745.0
318,1992,48197.0,51190.0,9175.0,8621.0,36099.0,0.0,0.0,0.0,0.0,0.7051963274076968,36099.0
319,1993,49073.0,52421.0,8072.0,8804.0,37756.0,0.0,1.0,0.0,0.0,0.7202647793823086,37757.0
320,1994,49596.0,53132.0,8219.0,9043.0,36729.0,0.0,1.0,0.0,0.0,0.6912971467289016,36730.0
321,1995,50979.0,56225.0,7287.0,9757.0,38114.0,1.0,1.0,0.0,0.0,0.6779190751445087,38116.0
322,1996,52515.0,54880.0,9428.0,8476.0,35522.0,5.0,1.0,0.0,0.0,0.6473760932944607,35528.0
323,1997,53069.0,56704.0,9008.0,9775.0,37124.0,20.0,2.0,0.0,0.0,0.6550860609480813,37146.0
324,1998,54039.0,57001.0,10304.0,10467.0,38254.0,45.0,2.0,0.0,0.0,0.6719355800775425,38301.0
325,1999,55167.0,60944.0,11608.0,13507.0,41727.0,51.0,2.0,0.0,0.0,0.6855473877658178,41780.0
326,2000,55750.0,61257.0,13824.0,15192.0,43219.0,67.0,3.0,0.0,0.0,0.7066784204254207,43289.0
327,2001,58338.0,62449.0,14467.0,14252.0,41837.0,105.0,5.0,0.0,0.0,0.6717001072875466,41947.0
328,2002,58074.0,62499.0,15375.0,14676.0,42020.0,140.0,9.0,3.0,0.0,0.6747627962047392,42172.0
329,2003,60058.0,60174.0,19003.0,13389.0,35292.0,372.0,15.0,3.0,0.0,0.5929803569648021,35682.0
330,2004,61320.0,64151.0,16629.0,13548.0,38966.0,934.0,18.0,2.0,0.0,0.6222818038689966,39920.0
331,2005,62865.0,66409.0,20397.0,17732.0,39020.0,1331.0,21.0,2.0,0.0,0.6079597644897529,40374.0
332,2006,65595.0,64499.0,21257.0,14407.0,38238.0,1752.0,22.0,3.0,0.0,0.6203972154607048,40015.0
333,2007,66706.0,64757.0,22130.0,15511.0,39248.0,2037.0,24.0,2.0,0.0,0.6379387556557592,41311.0
334,2008,66144.0,66877.0,19796.0,14933.0,40690.0,2011.0,30.0,2.0,0.0,0.6389790211881514,42733.0
335,2009,63266.0,69088.0,19542.0,18762.0,43669.0,1954.0,49.0,2.0,0.0,0.6610988883742474,45674.0
336,2010,65906.0,71128.0,19898.0,17567.0,41558.0,2064.0,89.0,1.0,0.0,0.614554043414689,43712.0
337,2011,65836.0,65813.0,24972.0,16777.0,37782.0,1936.0,174.0,1.0,0.0,0.6061568383146186,39893.0
338,2012,66788.0,72617.0,23264.0,20455.0,47705.0,2462.0,337.0,1.0,0.0,0.695498299296308,50505.0
339,2013,66757.0,68277.0,24960.0,17689.0,45777.0,3152.0,582.0,0.0,0.0,0.7251490252940229,49511.0
340,2014,66147.0,65421.0,26712.0,17437.0,44828.0,3846.0,785.0,0.0,0.0,0.7560110667828374,49459.0
