,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
341,1992,18185.0,19763.0,883.0,1396.0,1747.0,0.0,0.0,0.0,0.0,0.0883975104994181,1747.0
342,1993,18100.0,19100.0,300.0,200.0,2400.0,0.0,0.0,0.0,0.0,0.1256544502617801,2400.0
343,1994,16671.0,17583.0,540.0,280.0,1829.0,0.0,0.0,0.0,0.0,0.10402092930671672,1829.0
344,1995,16340.0,17045.0,899.0,500.0,1556.0,0.0,0.0,0.0,0.0,0.09128776767380463,1556.0
345,1996,16486.0,17088.0,1022.0,580.0,1538.0,0.0,0.0,0.0,0.0,0.09000468164794008,1538.0
346,1997,16250.0,16836.0,715.0,284.0,1712.0,0.0,0.0,0.0,0.0,0.10168686148728914,1712.0
347,1998,17262.0,17998.0,1242.0,1002.0,1951.0,0.0,0.0,0.0,0.0,0.10840093343704855,1951.0
348,1999,17899.0,18177.0,1636.0,886.0,1506.0,0.0,0.0,0.0,0.0,0.0828519557682786,1506.0
349,2000,18173.0,18699.0,1357.0,863.0,1534.0,0.0,0.0,0.0,0.0,0.08203647253863842,1534.0
350,2001,18597.0,18969.0,1642.0,966.0,1301.0,0.0,0.0,0.0,0.0,0.06858558701038536,1301.0
351,2002,19195.0,18701.0,2375.0,925.0,2020.0,0.0,0.0,0.0,0.0,0.10801561413828138,2020.0
352,2003,21867.0,21286.0,2436.0,871.0,2469.0,0.0,0.0,0.0,0.0,0.11599173165460866,2469.0
353,2004,22116.0,21743.0,2373.0,1008.0,2755.0,0.0,0.0,0.0,0.0,0.12670744607459872,2755.0
354,2005,23070.0,22872.0,2082.0,880.0,3009.0,0.0,0.0,0.0,0.0,0.13155823714585518,3009.0
355,2006,24388.0,24543.0,1766.0,879.0,2518.0,0.0,0.0,0.0,0.0,0.10259544472965815,2518.0
356,2007,20430.0,21847.0,548.0,786.0,2364.0,0.0,0.0,0.0,0.0,0.10820707648647411,2364.0
357,2008,19923.0,21643.0,216.0,812.0,2232.0,0.0,0.0,0.0,0.0,0.10312803215820357,2232.0
358,2009,17638.0,18868.0,110.0,380.0,2308.0,2.0,0.0,0.0,0.0,0.12242951028195888,2310.0
359,2010,17373.0,18710.0,100.0,462.0,3446.0,1.0,0.0,0.0,0.0,0.18423303046499198,3447.0
360,2011,18670.0,20294.0,128.0,805.0,2676.0,0.0,0.0,0.0,0.0,0.13186163398048684,2676.0
361,2012,21472.0,22988.0,141.0,680.0,1821.0,0.0,0.0,0.0,0.0,0.07921524273534018,1821.0
362,2013,22025.0,23354.0,127.0,495.0,1489.0,1.0,1.0,0.0,0.0,0.06384345294168023,1491.0
363,2014,23365.0,24728.0,124.0,489.0,1300.0,2.0,3.0,0.0,0.0,0.052774183112261404,1305.0
