,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
364,1990,950.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,1991,1135.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,1992,1130.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,1993,1181.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,1994,1240.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,1995,1265.0,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,1996,1300.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,1997,1372.0,1414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,1998,1486.0,1532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,1999,1559.4,1607.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,2000,1653.8,1704.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,2001,1716.5,1769.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,2002,1830.2,1886.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,2003,1935.1,1995.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,2004,1920.7,1979.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,2005,2023.0,2085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,2006,2058.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,2007,2179.0,2246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,2008,2181.0,2251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,2009,2068.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,2010,1804.6,1804.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,2011,1753.7,1753.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,2012,1749.5,1749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,2013,1811.0,1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,2014,1779.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
