,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
389,1990,3792.0,3792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,1991,3630.0,3630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,1992,3907.0,3907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,1993,4244.0,4244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,1994,4550.0,4550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,1995,4611.0,4611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,1996,4874.0,5016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,1997,4780.0,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,1998,5687.0,5773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,1999,5861.0,5956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,2000,6073.0,6297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,2001,6540.0,6779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,2002,6997.0,7278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,2003,7474.0,7768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,2004,8197.0,8448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,2005,8308.0,8867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,2006,9533.0,9745.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,2007,20842.0,21722.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,2008,22291.0,22819.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,2009,22548.0,22555.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,2010,23421.0,23441.0,192.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,2011,24338.0,24338.0,227.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,2012,24498.0,24770.0,35.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,2013,25864.0,25909.0,70.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,2014,27253.0,27246.0,240.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
