,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
414,1990,7627.0,8057.0,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.10971825741591162,884.0
415,1991,8483.0,8930.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.09384098544232923,838.0
416,1992,9053.0,9554.0,0.0,0.0,796.0,0.0,0.0,0.0,0.0,0.08331588863303328,796.0
417,1993,9359.0,9866.0,0.0,0.0,608.0,0.0,0.0,0.0,0.0,0.061625785526049054,608.0
418,1994,10034.0,10600.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,0.07981132075471697,846.0
419,1995,11049.0,11689.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,0.031824792539994866,372.0
420,1996,11763.0,12404.0,0.0,0.0,739.0,0.0,0.0,0.0,0.0,0.059577555627217026,739.0
421,1997,12205.0,12820.0,0.0,0.0,719.0,0.0,0.0,0.0,0.0,0.05608424336973479,719.0
422,1998,12194.0,12882.0,0.0,0.0,865.0,0.0,0.0,0.0,0.0,0.0671479583915541,865.0
423,1999,13638.0,14450.0,0.0,0.0,833.0,0.0,0.0,0.0,0.0,0.05764705882352941,833.0
424,2000,14885.0,15771.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.05998351404476571,946.0
425,2001,16254.0,17021.0,0.0,0.0,993.0,0.0,0.0,0.0,0.0,0.058339698020092826,993.0
426,2002,17445.0,18221.0,0.0,0.0,1066.0,0.0,0.0,0.0,0.0,0.05850392404368586,1066.0
427,2003,18999.0,19712.0,0.0,0.0,1126.0,0.0,0.0,0.0,0.0,0.057122564935064936,1126.0
428,2004,23926.0,24684.0,0.0,0.0,1226.0,0.0,0.0,0.0,0.0,0.0496678010046994,1226.0
429,2005,25662.0,26506.0,0.0,0.0,1293.0,0.0,0.0,0.0,0.0,0.048781407983098164,1293.0
430,2006,28918.0,29879.0,0.0,0.0,1389.0,0.0,0.0,0.0,0.0,0.04648749958164597,1389.0
431,2007,29268.0,31011.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.02415272000257973,749.0
432,2008,32165.0,34218.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.027763165585364426,950.0
433,2009,34946.0,37177.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.011216612421658553,417.0
434,2010,38343.0,40790.0,0.0,0.0,729.0,0.0,0.0,0.0,0.0,0.017872027457710223,729.0
435,2011,41504.0,44153.0,0.0,0.0,872.0,0.0,0.0,0.0,0.0,0.019749507394741014,872.0
436,2012,45648.0,48562.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,0.016000164737860877,777.0
437,2013,49933.0,53043.0,0.0,0.0,894.0,4.0,145.0,0.0,0.0,0.019663292046075826,1043.0
438,2014,52494.0,55845.0,0.0,0.0,588.0,4.0,145.0,0.0,0.0,0.013197242367266541,737.0
