,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
439,1990,440.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,1991,500.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,1992,496.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,1993,517.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,1994,540.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,1995,585.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,1996,619.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,1997,618.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,1998,715.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,1999,772.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,2000,758.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,2001,797.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,2002,829.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,2003,839.55,870.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,2004,863.06,895.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,2005,896.72,992.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,2006,914.21,1020.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,2007,1015.09,1049.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,2008,979.15,1053.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,2009,996.69,1068.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,2010,1008.74,1027.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,2011,1007.9,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,2012,1091.39,1128.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,2013,958.22,1015.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,2014,951.44,1009.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
