,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
464,1992,41044.0,37595.0,9909.0,3405.0,17.0,0.0,0.0,0.0,0.0,0.0004521877909296449,17.0
465,1993,36602.0,33369.0,9610.0,3605.0,19.0,0.0,0.0,0.0,0.0,0.0005693907518954718,19.0
466,1994,32702.0,31397.0,7764.0,3944.0,19.0,0.0,0.0,0.0,0.0,0.0006051533586011402,19.0
467,1995,29847.0,24918.0,10066.0,2907.0,20.0,0.0,0.0,0.0,0.0,0.0008026326350429408,20.0
468,1996,30101.0,23728.0,11144.0,2601.0,16.0,0.0,0.0,0.0,0.0,0.0006743088334457181,16.0
469,1997,31479.0,26057.0,10308.0,2688.0,21.0,0.0,0.0,0.0,0.0,0.0008059254710826266,21.0
470,1998,32095.0,23492.0,12747.0,2073.0,28.0,0.0,0.0,0.0,0.0,0.0011918951132300357,28.0
471,1999,31564.0,26516.0,10192.0,3028.0,19.0,0.0,0.0,0.0,0.0,0.00071654849901946,19.0
472,2000,31194.0,26095.0,9975.0,2764.0,20.0,0.0,0.0,0.0,0.0,0.0007664303506418854,20.0
473,2001,31195.0,25042.0,10989.0,2718.0,30.0,0.0,0.0,0.0,0.0,0.0011979873811995847,30.0
474,2002,30864.0,26455.0,10068.0,3513.0,28.0,0.0,0.0,0.0,0.0,0.0010584010584010583,28.0
475,2003,31311.0,26627.0,10818.0,3987.0,28.0,0.0,0.0,0.0,0.0,0.0010515642017501032,28.0
476,2004,32141.0,31210.0,7975.0,4723.0,33.0,1.0,0.0,0.0,0.0,0.0010893944248638258,34.0
477,2005,32712.0,30961.0,9091.0,5055.0,36.0,1.0,0.0,0.0,0.0,0.0011950518394108717,37.0
478,2006,33796.0,31811.0,10149.0,5789.0,35.0,1.0,0.0,0.0,0.0,0.0011316840086762442,36.0
479,2007,33923.0,31829.0,9406.0,5062.0,35.0,1.0,0.0,0.0,0.0,0.001131044016462974,36.0
480,2008,34619.0,35048.0,7085.0,5245.0,39.0,1.0,0.0,0.0,0.0,0.0011412919424788862,40.0
481,2009,32717.0,30376.0,8404.0,3933.0,44.0,1.0,0.0,0.0,0.0,0.0014814327100342375,45.0
482,2010,35331.0,34895.0,7767.0,5067.0,45.0,1.0,0.0,0.0,0.0,0.0013182404355924918,46.0
483,2011,35565.0,32200.0,9289.0,3704.0,42.0,1.0,0.0,0.0,0.0,0.0013354037267080746,43.0
484,2012,36197.0,30799.0,10398.0,2797.0,70.0,6.0,0.0,0.0,0.0,0.0024676125848241827,76.0
485,2013,35688.0,31507.0,9382.0,3012.0,138.0,8.0,0.0,0.0,0.0,0.004633890881391437,146.0
486,2014,35836.0,34735.0,7806.0,4488.0,121.0,11.0,1.0,0.0,0.0,0.0038289909313372677,133.0
