,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
487,1990,62712.0,70923.0,4785.0,8509.0,897.0,7.0,0.0,0.0,0.0,0.012746217729086474,904.0
488,1991,65288.0,71936.0,4998.0,6845.0,979.0,8.0,0.0,0.0,0.0,0.013720529359430605,987.0
489,1992,67408.0,72225.0,5849.0,5721.0,1156.0,9.0,0.0,0.0,0.0,0.016130148840429213,1165.0
490,1993,68317.0,70834.0,7590.0,5359.0,1020.0,8.0,0.0,0.0,0.0,0.014512804585368608,1028.0
491,1994,71392.0,72179.0,9053.0,5070.0,1184.0,9.0,0.0,0.0,0.0,0.016528353122099226,1193.0
492,1995,73502.0,74408.0,9398.0,5326.0,1230.0,9.0,0.0,0.0,0.0,0.016651435329534458,1239.0
493,1996,75239.0,76099.0,9637.0,5446.0,1200.0,8.0,0.0,0.0,0.0,0.01587405879183695,1208.0
494,1997,77012.0,78833.0,9975.0,6705.0,1277.0,8.0,0.0,0.0,0.0,0.016300280339451752,1285.0
495,1998,79366.0,83183.0,7828.0,6435.0,1497.0,11.0,0.0,0.0,0.0,0.01812870418234495,1508.0
496,1999,80176.0,84514.0,9059.0,8207.0,1489.0,13.0,0.0,0.0,0.0,0.01777220342191826,1502.0
497,2000,82955.0,84012.0,11645.0,7319.0,1699.0,16.0,0.0,0.0,0.0,0.020413750416607153,1715.0
498,2001,83702.0,79821.0,15818.0,6712.0,1644.0,37.0,0.0,0.0,0.0,0.021059620901767707,1681.0
499,2002,84210.0,82069.0,16658.0,9070.0,1490.0,57.0,0.0,0.0,0.0,0.01884999207983526,1547.0
500,2003,85822.0,84630.0,14664.0,8254.0,1316.0,88.0,0.0,0.0,0.0,0.016589861751152075,1404.0
501,2004,87811.0,85643.0,14567.0,6790.0,1607.0,142.0,1.0,0.0,0.0,0.020433660661116494,1750.0
502,2005,87925.0,87025.0,14328.0,8024.0,1604.0,227.0,1.0,0.0,0.0,0.021051422005170926,1832.0
503,2006,90444.0,85617.0,18853.0,8696.0,1628.0,366.0,2.0,0.0,0.0,0.02331312706588645,1996.0
504,2007,90165.0,88820.0,15816.0,9037.0,1683.0,491.0,6.0,0.0,0.0,0.024544021616752985,2180.0
505,2008,90209.0,84930.0,17158.0,6561.0,1757.0,637.0,42.0,0.0,0.0,0.02868244436594843,2436.0
506,2009,83806.0,91225.0,9486.0,11321.0,1757.0,996.0,166.0,0.0,0.0,0.03199780761852562,2919.0
507,2010,90251.0,95189.0,12395.0,11844.0,1668.0,1292.0,560.0,0.0,0.0,0.03697906270682537,3520.0
508,2011,87567.0,90241.0,13189.0,10652.0,1423.0,2312.0,1169.0,0.0,0.0,0.05434336942188141,4904.0
509,2012,87998.0,82923.0,16848.0,6912.0,1659.0,2751.0,2148.0,0.0,0.0,0.07908541659129555,6558.0
510,2013,88097.0,83526.0,17243.0,7603.0,1723.0,3687.0,2644.0,0.0,0.0,0.09642506524914397,8054.0
511,2014,85939.0,72688.0,21791.0,4188.0,1507.0,4614.0,2883.0,0.0,0.0,0.12387189082104336,9004.0
