,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
512,1990,111.0,108.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,1991,133.0,125.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,1992,155.0,140.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,1993,174.0,157.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,1994,164.0,144.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,1995,169.0,148.0,24.0,0.0,40.0,0.0,0.0,0.0,0.0,0.2702702702702703,40.0
518,1996,173.0,152.0,25.0,0.0,61.0,0.0,0.0,0.0,0.0,0.40131578947368424,61.0
519,1997,187.0,167.0,25.0,0.0,69.0,0.0,0.0,0.0,0.0,0.41317365269461076,69.0
520,1998,179.0,159.0,25.0,0.0,66.0,0.0,0.0,0.0,0.0,0.41509433962264153,66.0
521,1999,188.0,167.0,25.0,0.0,76.0,0.0,0.0,0.0,0.0,0.4550898203592814,76.0
522,2000,260.0,137.0,127.0,0.0,96.0,0.0,0.0,0.0,0.0,0.7007299270072993,96.0
523,2001,293.0,139.0,159.0,0.0,96.0,0.0,0.0,0.0,0.0,0.6906474820143885,96.0
524,2002,314.0,140.0,181.0,0.0,94.0,0.0,0.0,0.0,0.0,0.6714285714285714,94.0
525,2003,347.0,166.0,189.0,0.0,68.0,0.0,0.0,0.0,0.0,0.40963855421686746,68.0
526,2004,378.065,148.219,236.0,0.0,63.85,0.0,0.0,0.0,0.0,0.4307814787577841,63.85
527,2005,403.82800000000003,156.217,254.0,0.0,68.957,0.0,0.0,0.0,0.0,0.4414180274874053,68.957
528,2006,417.869,211.745,210.0,0.0,179.5,0.0,0.0,0.0,0.0,0.8477177737372783,179.5
529,2007,438.481,217.77700000000002,225.0,0.0,179.17700000000002,0.0,0.0,0.0,0.0,0.8227544690210629,179.17700000000002
530,2008,463.204,217.995,248.0,0.0,206.545,0.0,0.0,0.0,0.0,0.9474758595380627,206.545
531,2009,467.448611,236.58472200000003,216.233889,0.0,187.591389,0.0,0.0,0.0,0.0,0.7929142144690137,187.591389
532,2010,559.6602780000001,414.9275,159.882778,0.0,262.985,0.0,0.0,0.0,0.0,0.6338095209404053,262.985
533,2011,545.5644440000001,388.369722,170.615,0.0,244.44611099999997,0.0,0.0,0.0,0.0,0.6294159846992397,244.44611099999997
534,2012,581.623333,423.75194400000004,171.861389,0.0,208.460556,0.0,0.0,0.0,0.0,0.4919400582148125,208.460556
535,2013,591.237778,371.006667,234.22111099999998,0.0,207.07,0.0,0.0,0.0,0.0,0.5581301319310253,207.07
536,2014,623.226388888889,404.061666888889,233.15472222222198,0.0,204.88138899999998,0.0,0.0,0.0,0.0,0.5070547537397041,204.88138899999998
