,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
537,1990,223.0,21.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,1991,238.0,23.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,1992,260.0,25.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,1993,283.0,25.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,1994,340.0,52.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,1995,294.0,35.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,1996,315.0,48.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,1997,334.0,50.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,1998,334.0,79.0,255.0,0.0,2.0,0.0,0.0,0.0,0.0,0.02531645569620253,2.0
546,1999,399.0,72.0,327.0,0.0,2.0,0.0,0.0,0.0,0.0,0.027777777777777776,2.0
547,2000,458.0,84.0,374.0,0.0,2.0,0.0,0.0,0.0,0.0,0.023809523809523808,2.0
548,2001,522.0,66.0,456.0,0.0,2.0,0.0,0.0,0.0,0.0,0.030303030303030304,2.0
549,2002,596.0,63.0,533.0,0.0,2.0,0.0,0.0,0.0,0.0,0.031746031746031744,2.0
550,2003,593.0,80.0,513.0,0.0,2.0,0.0,0.0,0.0,0.0,0.025,2.0
551,2004,659.0,81.0,578.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012345679012345678,1.0
552,2005,702.0,107.0,595.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009345794392523364,1.0
553,2006,743.0,154.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,2007,799.0,220.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,2008,891.0,229.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,2009,994.0,128.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,2010,1085.0,150.0,935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,2011,1079.0,155.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,2012,1129.0,162.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,2013,1206.0,173.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,2014,1285.0,184.0,1101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
