,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
562,1990,429.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,1991,454.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,1992,461.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,1993,463.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,1994,475.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,1995,477.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,1996,480.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,1997,486.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,1998,486.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,1999,504.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,2000,535.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,2001,554.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,2002,575.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,2003,590.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,2004,595.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,2005,631.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,2006,655.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,2007,688.8,734.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,2008,680.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,2009,701.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,2010,692.4,742.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,2011,678.0,725.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,2012,651.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,2013,632.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,2014,623.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
