,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
587,1990,166.0,1564.0,3.0,1395.0,1557.0,0.0,0.0,0.0,0.0,0.9955242966751918,1557.0
588,1991,178.0,1564.0,3.0,1383.0,1560.0,0.0,0.0,0.0,0.0,0.9974424552429667,1560.0
589,1992,226.0,1564.0,5.0,1337.0,1563.0,0.0,0.0,0.0,0.0,0.9993606138107417,1563.0
590,1993,218.0,1684.0,5.0,1465.0,1683.0,0.0,0.0,0.0,0.0,0.9994061757719715,1683.0
591,1994,229.0,1686.0,5.0,1456.0,1685.0,0.0,0.0,0.0,0.0,0.9994068801897983,1685.0
592,1995,317.0,1630.0,5.0,1312.0,1630.0,0.0,0.0,0.0,0.0,1.0,1630.0
593,1996,413.0,1972.0,7.0,1560.0,1972.0,0.0,0.0,0.0,0.0,1.0,1972.0
594,1997,409.0,1838.0,7.0,1430.0,1838.0,0.0,0.0,0.0,0.0,1.0,1838.0
595,1998,446.0,1801.0,8.0,1357.0,1801.0,0.0,0.0,0.0,0.0,1.0,1801.0
596,1999,417.0,1800.0,8.0,1385.0,1800.0,0.0,0.0,0.0,0.0,1.0,1800.0
597,2000,414.0,1810.0,8.0,1398.0,1810.0,0.0,0.0,0.0,0.0,1.0,1810.0
598,2001,588.61,2059.4,6.9,1477.69,2058.95,0.0,0.0,0.0,0.0,0.9997814897542973,2058.95
599,2002,664.21,2200.91,24.3,1561.0,2200.0,0.0,0.0,0.0,0.0,0.9995865346606632,2200.0
600,2003,702.8,2529.1,18.7,1845.0,2527.0,0.0,0.0,0.0,0.0,0.9991696650982563,2527.0
601,2004,751.8,2354.8,21.0,1624.0,2353.0,0.0,0.0,0.0,0.0,0.9992356038729403,2353.0
602,2005,738.6,2647.5,34.1,1943.0,2646.0,0.0,0.0,0.0,0.0,0.9994334277620397,2646.0
603,2006,887.9,4520.8,11.1,3644.0,4519.0,0.0,0.0,0.0,0.0,0.9996018403822332,4519.0
604,2007,1140.3,6562.0,7.3,5429.0,6560.0,0.0,0.0,0.0,0.0,0.9996952148735142,6560.0
605,2008,1151.66,6961.1,16.7,5609.4,6961.0,0.0,0.0,0.0,0.0,0.9999856344543246,6961.0
606,2009,1442.41,6998.1,19.5,5352.4,6998.0,0.0,0.0,0.0,0.0,0.9999857104071105,6998.0
607,2010,1654.74,7328.3,19.871,5267.5,7328.0,0.0,0.0,0.0,0.0,0.9999590628112932,7328.0
608,2011,1713.93,7067.5,19.9,5267.5,7067.2,0.0,0.0,0.0,0.0,0.999957552175451,7067.2
609,2012,1853.76,6826.7,36.7,4890.1,6826.5,0.0,0.0,0.0,0.0,0.9999707032680505,6826.5
610,2013,1924.24,7640.14,108.19,5648.23,7639.64,0.0,0.0,0.0,0.0,0.9999345561730544,7639.64
611,2014,2085.46,7003.86,187.37,4991.9,7003.36,0.0,0.0,0.0,0.0,0.9999286107946189,7003.36
