,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
612,1990,2292.0,2311.0,11.0,2.0,1180.0,0.0,0.0,0.0,0.0,0.5106014712245781,1180.0
613,1991,2256.0,2400.0,12.0,3.0,1427.0,0.0,0.0,0.0,0.0,0.5945833333333334,1427.0
614,1992,2393.0,2465.0,15.0,3.0,1318.0,0.0,0.0,0.0,0.0,0.5346855983772819,1318.0
615,1993,2636.0,2707.0,16.0,3.0,1558.0,0.0,0.0,0.0,0.0,0.5755448836350203,1558.0
616,1994,2806.0,2873.0,19.0,3.0,1365.0,0.0,0.0,0.0,0.0,0.4751131221719457,1365.0
617,1995,2993.0,3061.0,13.0,3.0,1305.0,0.0,0.0,0.0,0.0,0.4263312642927148,1305.0
618,1996,3210.0,3279.0,13.0,3.0,1466.0,0.0,0.0,0.0,0.0,0.44708752668496493,1466.0
619,1997,3457.0,3472.0,14.0,1.0,1565.0,0.0,0.0,0.0,0.0,0.4507488479262673,1565.0
620,1998,3695.0,3710.0,15.0,1.0,1556.0,0.0,0.0,0.0,0.0,0.41940700808625336,1556.0
621,1999,3865.0,3881.0,15.0,0.0,1786.0,0.0,0.0,0.0,0.0,0.4601906725070858,1786.0
622,2000,3867.0,3880.0,16.0,0.0,1945.0,0.0,0.0,0.0,0.0,0.5012886597938144,1945.0
623,2001,3926.0,3980.0,9.0,0.0,2129.0,0.0,0.0,0.0,0.0,0.5349246231155779,2129.0
624,2002,4122.0,4184.0,9.0,0.0,2203.0,0.0,0.0,0.0,0.0,0.5265296367112811,2203.0
625,2003,4262.0,4374.0,9.0,0.0,2029.0,0.0,0.0,0.0,0.0,0.4638774577046182,2029.0
626,2004,4446.0,4542.2,0.0,0.0,2168.2,0.0,0.0,0.0,0.0,0.477345779578178,2168.2
627,2005,4817.0,4896.0,0.0,0.0,1964.0,0.0,0.0,0.0,0.0,0.4011437908496732,1964.0
628,2006,5217.0,5300.0,0.0,0.0,2159.0,0.0,0.0,0.0,0.0,0.40735849056603773,2159.0
629,2007,5641.0,5734.0,0.0,0.0,2319.0,0.0,0.0,0.0,0.0,0.40442971747471224,2319.0
630,2008,5724.0,5817.0,0.0,0.0,2310.0,0.0,1.0,0.0,0.0,0.39728382327660305,2311.0
631,2009,6018.0,6121.0,0.0,0.0,2296.0,0.0,2.0,0.0,0.0,0.3754288514948538,2298.0
632,2010,6654.0,6777.0,0.0,0.0,2182.0,0.0,3.0,0.0,0.0,0.3224140475136491,2185.0
633,2011,7080.0,7220.0,0.0,0.0,2347.0,0.0,3.0,0.0,0.0,0.3254847645429363,2350.0
634,2012,7502.0,7661.0,0.0,0.0,2352.0,0.0,3.0,0.0,0.0,0.30740112256885527,2355.0
635,2013,7874.0,8065.0,0.0,0.0,2535.0,1.0,3.0,0.0,0.0,0.3148171109733416,2539.0
636,2014,8563.0,8755.0,0.0,0.0,2251.0,8.0,6.0,0.0,0.0,0.25870930896630495,2265.0
