,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
640,1992,4916.0,6525.0,234.0,974.0,3408.0,0.0,0.0,0.0,0.0,0.5222988505747126,3408.0
641,1993,3495.0,3327.0,311.0,88.0,2367.0,0.0,0.0,0.0,0.0,0.7114517583408476,2367.0
642,1994,4251.0,4244.0,572.0,489.0,3459.0,0.0,0.0,0.0,0.0,0.8150329877474081,3459.0
643,1995,4448.0,4401.0,787.0,672.0,3643.0,0.0,0.0,0.0,0.0,0.827766416723472,3643.0
644,1996,5697.0,7340.0,1526.0,3061.0,5156.0,0.0,0.0,0.0,0.0,0.7024523160762943,5156.0
645,1997,6669.0,8765.0,893.0,2684.0,4655.0,0.0,0.0,0.0,0.0,0.5310895607529948,4655.0
646,1998,7268.0,9077.0,1772.0,2700.0,4557.0,0.0,0.0,0.0,0.0,0.5020381183210312,4557.0
647,1999,7010.0,10154.0,2199.0,3909.0,5532.0,0.0,0.0,0.0,0.0,0.5448099271223164,5532.0
648,2000,7609.0,10429.0,1505.0,2569.0,5094.0,0.0,0.0,0.0,0.0,0.48844568031450764,5094.0
649,2001,8132.0,10638.0,1262.0,2351.0,5181.0,0.0,0.0,0.0,0.0,0.48702763677382965,5181.0
650,2002,8508.0,10785.0,1019.0,2133.0,5268.0,0.0,0.0,0.0,0.0,0.48845618915159944,5268.0
651,2003,9118.0,11266.0,2082.0,3015.0,4501.0,0.0,0.0,0.0,0.0,0.39952068169714183,4501.0
652,2004,9410.0,12728.0,1653.0,3598.0,5979.0,0.0,0.0,0.0,0.0,0.4697517284726587,5979.0
653,2005,9836.0,12602.0,2251.0,3628.0,5998.0,0.0,0.0,0.0,0.0,0.47595619742897954,5998.0
654,2006,9704.0,13309.0,3015.0,5123.0,5857.0,0.0,0.0,0.0,0.0,0.44007814261026373,5857.0
655,2007,9858.0,11784.0,3743.0,4344.0,4001.0,0.0,0.0,0.0,0.0,0.33952817379497624,4001.0
656,2008,12210.0,14823.0,3412.0,5057.0,4867.0,0.0,0.0,0.0,0.0,0.3283410915469203,4867.0
657,2009,11711.0,15668.0,2887.0,5877.0,6239.0,0.0,0.0,0.0,0.0,0.3982001531784529,6239.0
658,2010,12329.0,17124.0,3076.0,6905.0,8026.0,0.0,0.0,0.0,0.0,0.46869890212567156,8026.0
659,2011,12738.0,15280.0,4171.0,5660.0,4387.0,0.0,0.0,0.0,0.0,0.2871073298429319,4387.0
660,2012,12991.0,14082.0,4481.0,4525.0,4215.0,0.0,0.0,0.0,0.0,0.29931827865360033,4215.0
661,2013,12758.0,17451.0,3167.0,6862.0,7236.0,0.0,0.0,0.0,0.0,0.41464672511603917,7236.0
662,2014,12336.0,16160.0,3162.0,5998.0,5935.0,0.0,0.0,0.0,0.0,0.36726485148514854,5935.0
