,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
663,1990,848.0,906.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,1991,963.0,935.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,1992,1139.0,1157.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,1993,1191.0,1093.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,1994,1287.0,1111.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,1995,1382.0,1114.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,1996,1530.0,807.0,812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,1997,1633.0,925.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,1998,1721.0,1092.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,1999,1963.0,1110.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,2000,1879.9,1027.0,967.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,2001,2042.7,1034.6,1123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,2002,2169.9,1044.3,1241.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,2003,2435.4,935.6,1605.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,2004,2642.0,823.1,1915.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,2005,2731.2,941.7,1898.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,2006,2916.7,977.1,2050.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,2007,3119.7,821.5,2393.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,2008,3215.5,697.0,2585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,2009,3298.2,620.7,2748.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,2010,3441.8,532.1,2984.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,2011,3551.2,437.1,3180.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,2012,3590.92,250.8,3371.32,0.0,0.0,0.0,1.3,0.0,0.0,0.00518341307814992,1.3
686,2013,3650.1,761.2,2981.4,0.0,0.0,0.0,1.3,0.0,0.0,0.0017078297425118234,1.3
687,2014,3757.0,2365.0,1684.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0008456659619450317,2.0
