,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
688,1990,244575.0,222820.0,24804.0,7.0,206708.0,0.0,0.0,0.0,0.0,0.9276905125213176,206708.0
689,1991,258344.0,234366.0,27088.0,8.0,217782.0,0.0,0.0,0.0,0.0,0.9292388827730985,217782.0
690,1992,262565.0,241731.0,24022.0,8.0,223343.0,0.0,0.0,0.0,0.0,0.923931973971067,223343.0
691,1993,281186.0,256699.0,27561.0,11.0,238435.0,0.0,0.0,0.0,0.0,0.9288505214278201,238435.0
692,1994,290825.0,261786.0,31767.0,0.0,242705.0,0.0,0.0,0.0,0.0,0.9271122214327734,242705.0
693,1995,308073.0,275601.0,35352.0,0.0,253905.0,0.0,0.0,0.0,0.0,0.9212774989931096,253905.0
694,1996,325539.0,291244.0,36566.0,8.0,265769.0,0.0,0.0,0.0,0.0,0.9125303868920904,265769.0
695,1997,346793.0,307980.0,40478.0,8.0,278972.0,0.0,0.0,0.0,0.0,0.9058120657185531,278972.0
696,1998,359435.0,321748.0,39412.0,8.0,291469.0,0.0,0.0,0.0,0.0,0.9058921889180352,291469.0
697,1999,372847.0,334716.0,39968.0,7.0,293000.0,0.0,0.0,0.0,0.0,0.8753689695144541,293000.0
698,2000,391310.0,348909.0,44345.0,7.0,304403.0,0.0,0.0,0.0,0.0,0.872442384690564,304403.0
699,2001,364055.0,328509.0,37854.0,6.0,267876.0,0.0,0.0,0.0,0.0,0.815429714254404,267876.0
700,2002,378781.0,345671.0,36580.0,7.0,286092.0,0.0,0.0,0.0,0.0,0.8276424692843773,286092.0
701,2003,398099.0,364339.0,37151.0,6.0,305616.0,0.0,0.0,0.0,0.0,0.8388231839029037,305616.0
702,2004,421359.0,387451.0,37392.0,7.0,320797.0,0.0,0.0,0.0,0.0,0.8279679236858338,320797.0
703,2005,438190.0,402938.0,39202.0,160.0,337457.0,0.0,0.0,0.0,0.0,0.8374911276672838,337457.0
704,2006,456737.0,419336.0,41447.0,283.0,348805.0,0.0,0.0,0.0,0.0,0.8318031363870501,348805.0
705,2007,479031.0,445094.0,40866.0,2034.0,374015.0,645.0,0.0,0.0,0.0,0.841754775395759,374660.0
706,2008,499647.0,463120.0,42901.0,689.0,369556.0,837.0,0.0,0.0,0.0,0.7997775954396269,370393.0
707,2009,500929.0,466158.0,40746.0,1080.0,390988.0,1238.0,0.0,0.0,0.0,0.8414014132547334,392226.0
708,2010,544762.0,515798.0,35906.0,1257.0,403289.0,2177.0,0.0,0.0,0.0,0.7860945563961086,405466.0
709,2011,562570.0,531759.0,38430.0,2544.0,428333.0,2705.0,0.0,0.0,0.0,0.8105890074262965,431038.0
710,2012,586624.0,552498.0,40722.0,467.0,415342.0,5050.0,0.0,0.0,0.0,0.7608932521022701,420392.0
711,2013,603506.0,570838.0,40334.0,0.0,390992.0,6579.0,7.0,0.0,0.0,0.6964813134374376,397578.0
712,2014,615629.0,590541.0,33778.0,3.0,373439.0,12211.0,16.0,0.0,0.0,0.6530723523006869,385666.0
