,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
713,1990,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,1991,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,1992,46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,1993,49.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,1994,52.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,1995,58.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,1996,64.5,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,1997,71.2,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,1998,74.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,1999,77.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,2000,80.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,2001,83.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,2002,87.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,2003,88.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,2004,92.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,2005,93.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,2006,100.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730,2007,104.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,2008,116.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732,2009,119.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,2010,122.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
734,2011,125.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,2012,124.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,2013,124.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737,2014,126.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
