,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
738,1990,1237.0,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739,1991,1336.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
740,1992,1447.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
741,1993,1515.0,1515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742,1994,1543.0,1543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,1995,1828.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,1996,2037.0,2123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
745,1997,2349.0,2407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,1998,2751.0,2807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,1999,2676.0,2731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,2000,2785.0,2842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,2001,2852.0,2910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,2002,2976.0,3036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,2003,3106.0,3169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,2004,3171.0,3236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,2005,3199.0,3264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,2006,3232.0,3298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,2007,3280.0,3395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,2008,3309.0,3423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,2009,3461.0,3612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,2010,3633.0,3792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,2011,3657.0,3725.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0005369127516778523,2.0
760,2012,3851.0,3930.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0005089058524173028,2.0
761,2013,3962.0,4402.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00045433893684688776,2.0
762,2014,4055.0,4506.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0004438526409232135,2.0
