,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
763,1990,42695.0,42141.0,5387.0,1596.0,1878.0,0.0,0.0,0.0,0.0,0.044564675731472915,1878.0
764,1991,36835.0,38917.0,3083.0,959.0,2441.0,0.0,0.0,0.0,0.0,0.06272323149266387,2441.0
765,1992,34234.0,35610.0,3289.0,584.0,2063.0,0.0,0.0,0.0,0.0,0.057933164841336704,2063.0
766,1993,33976.0,37997.0,1630.0,1520.0,1942.0,0.0,0.0,0.0,0.0,0.05110929810248178,1942.0
767,1994,33899.0,38133.0,1173.0,1245.0,1468.0,0.0,0.0,0.0,0.0,0.03849684000734272,1468.0
768,1995,37192.0,41789.0,1961.0,2121.0,2314.0,0.0,0.0,0.0,0.0,0.055373423628227524,2314.0
769,1996,37985.0,42716.0,1803.0,2252.0,2919.0,0.0,0.0,0.0,0.0,0.06833505009832382,2919.0
770,1997,33974.0,42312.0,785.0,4335.0,2936.0,0.0,0.0,0.0,0.0,0.06938929854414823,2936.0
771,1998,33251.0,41711.0,564.0,4211.0,3328.0,0.0,0.0,0.0,0.0,0.07978710651866414,3328.0
772,1999,31804.0,38250.0,1670.0,3627.0,2984.0,0.0,0.0,0.0,0.0,0.07801307189542483,2984.0
773,2000,31629.0,40925.0,964.0,5584.0,2952.0,0.0,0.0,0.0,0.0,0.07213194868662187,2952.0
774,2001,32045.0,43969.0,1092.0,8017.0,2172.0,0.0,0.0,0.0,0.0,0.049398439809866045,2172.0
775,2002,31588.0,42679.0,2040.0,8335.0,2704.0,0.0,0.0,0.0,0.0,0.06335668595796527,2704.0
776,2003,32504.0,42600.0,1283.0,6772.0,3301.0,0.0,0.0,0.0,0.0,0.07748826291079812,3301.0
777,2004,31378.0,41621.0,741.0,6620.0,3363.0,1.0,0.0,0.0,0.0,0.0808245837437832,3364.0
778,2005,32156.0,44365.0,799.0,8380.0,4730.0,5.0,0.0,0.0,0.0,0.10672827679477065,4735.0
779,2006,33389.0,45843.0,1139.0,8882.0,4579.0,20.0,0.0,0.0,0.0,0.10032065964269354,4599.0
780,2007,34046.0,43297.0,3058.0,7533.0,3234.0,47.0,0.0,0.0,0.0,0.07577892232718202,3281.0
781,2008,34640.0,45037.0,3097.0,8441.0,3277.0,122.0,0.0,0.0,0.0,0.07547127917045984,3399.0
782,2009,32829.0,42964.0,2662.0,7735.0,4053.0,237.0,3.0,0.0,0.0,0.09992086397914533,4293.0
783,2010,32829.0,46653.0,1167.0,9613.0,5693.0,681.0,15.0,0.0,0.0,0.13694724883715945,6389.0
784,2011,34055.0,50797.0,1449.0,12110.0,3691.0,861.0,101.0,0.0,0.0,0.0915998976317499,4653.0
785,2012,33454.0,47329.0,2353.0,10661.0,3976.0,1221.0,814.0,0.0,0.0,0.12700458492678907,6011.0
786,2013,32592.0,43784.0,3351.0,9532.0,4795.0,1374.0,1361.0,0.0,0.0,0.17198063219440893,7530.0
787,2014,32958.0,47485.0,4319.0,13774.0,5163.0,1331.0,1252.0,0.0,0.0,0.16312519743076762,7746.0
