,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
788,1990,180.0,184.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.04891304347826087,9.0
789,1991,190.0,194.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.06701030927835051,13.0
790,1992,196.0,201.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.09950248756218906,20.0
791,1993,210.0,215.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.2186046511627907,47.0
792,1994,210.0,216.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.33796296296296297,73.0
793,1995,236.9,242.9,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.3869905310827501,94.0
794,1996,266.5,273.5,0.0,0.0,73.8,0.0,0.0,0.0,0.0,0.26983546617915904,73.8
795,1997,297.7,306.2,0.0,0.0,61.5,0.0,0.0,0.0,0.0,0.20084911822338342,61.5
796,1998,329.1,338.1,0.0,0.0,78.3,0.0,0.0,0.0,0.0,0.23158828748890858,78.3
797,1999,351.9,359.9,0.0,0.0,124.7,0.0,0.0,0.0,0.0,0.3464851347596555,124.7
798,2000,380.4,390.4,0.0,0.0,98.3,0.0,0.0,0.0,0.0,0.25179303278688525,98.3
799,2001,421.2,365.5,66.7,0.0,53.8,0.0,0.0,0.0,0.0,0.14719562243502052,53.8
800,2002,459.2,364.7,110.5,0.0,63.8,0.0,0.0,0.0,0.0,0.17493830545653963,63.8
801,2003,495.8,444.6,69.2,0.0,95.9,0.0,0.0,0.0,0.0,0.2156995051731894,95.9
802,2004,549.5,473.3,96.2,0.0,101.5,0.0,0.0,0.0,0.0,0.21445172195225015,101.5
803,2005,619.6,516.3,125.3,0.0,100.5,0.0,0.0,0.0,0.0,0.19465427077280653,100.5
804,2006,664.8,547.8,139.3,0.0,80.1,0.0,0.0,0.0,0.0,0.14622124863088717,80.1
805,2007,709.6,612.0,124.0,0.0,111.0,0.0,0.0,0.0,0.0,0.18137254901960784,111.0
806,2008,730.4,619.4,135.7,0.0,135.9,0.0,0.0,0.0,0.0,0.21940587665482728,135.9
807,2009,816.1,699.8,144.6,0.0,132.3,0.0,0.0,0.0,0.0,0.1890540154329809,132.3
808,2010,904.5,565.3,384.5,0.0,117.5,0.0,0.0,0.0,0.0,0.20785423668848402,117.5
809,2011,975.1,529.9,495.2,0.0,81.9,0.0,0.0,0.0,0.0,0.15455746367239104,81.9
810,2012,1090.5,625.6,514.9,0.0,96.6,0.0,0.0,0.0,0.0,0.15441176470588233,96.6
811,2013,1212.3,730.7,531.6,0.0,105.5,0.0,0.0,0.0,0.0,0.14438209935678115,105.5
812,2014,1308.353,869.971,488.38199999999995,0.0,90.473,0.0,0.0,0.0,0.0,0.1039954205370064,90.473
