,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
813,1990,104.0,110.0,16.0,0.0,108.0,0.0,0.0,0.0,0.0,0.9818181818181818,108.0
814,1991,134.0,136.0,21.0,0.0,134.0,0.0,0.0,0.0,0.0,0.9852941176470589,134.0
815,1992,108.0,107.0,23.0,0.0,105.0,0.0,0.0,0.0,0.0,0.9813084112149533,105.0
816,1993,115.0,111.0,26.0,0.0,109.0,0.0,0.0,0.0,0.0,0.9819819819819819,109.0
817,1994,121.0,117.0,26.0,0.0,115.0,0.0,0.0,0.0,0.0,0.9829059829059829,115.0
818,1995,124.0,120.0,26.0,0.0,118.0,0.0,0.0,0.0,0.0,0.9833333333333333,118.0
819,1996,123.0,120.0,26.0,0.0,118.0,0.0,0.0,0.0,0.0,0.9833333333333333,118.0
820,1997,127.0,122.0,28.0,0.0,120.0,0.0,0.0,0.0,0.0,0.9836065573770492,120.0
821,1998,115.0,112.0,26.0,0.0,110.0,0.0,0.0,0.0,0.0,0.9821428571428571,110.0
822,1999,111.0,100.0,35.0,0.0,98.0,0.0,0.0,0.0,0.0,0.98,98.0
823,2000,112.0,101.0,35.0,0.0,99.0,0.0,0.0,0.0,0.0,0.9801980198019802,99.0
824,2001,149.0,117.0,35.0,0.0,115.0,0.0,0.0,0.0,0.0,0.9829059829059829,115.0
825,2002,154.7,129.3,35.0,0.0,127.3,0.0,0.0,0.0,0.0,0.9845320959010053,127.3
826,2003,150.893,103.5,52.793,0.0,101.5,0.0,0.0,0.0,0.0,0.9806763285024155,101.5
827,2004,149.629,93.6,63.928999999999995,0.0,91.6,0.0,0.0,0.0,0.0,0.9786324786324786,91.6
828,2005,166.519,102.3,71.719,0.0,100.3,0.0,0.0,0.0,0.0,0.9804496578690127,100.3
829,2006,147.934,95.3,58.534,0.0,93.3,0.0,0.0,0.0,0.0,0.9790136411332634,93.3
830,2007,188.767,119.459,77.408,0.0,117.459,0.0,0.0,0.0,0.0,0.9832578541591676,117.459
831,2008,182.53900000000002,113.789,76.55,0.0,111.789,0.0,0.0,0.0,0.0,0.9824236086089165,111.789
832,2009,204.697,121.147,91.55,0.0,116.77799999999999,0.0,0.0,0.0,0.0,0.9639363748173705,116.77799999999999
833,2010,229.03099999999998,142.031,95.0,0.0,124.495,0.0,0.0,0.0,0.0,0.876533996099443,124.495
834,2011,231.75099999999998,141.151,98.6,0.0,128.246,0.0,0.0,0.0,0.0,0.9085730883946979,128.246
835,2012,232.295,141.695,98.6,0.0,138.80700000000002,0.0,0.0,0.0,0.0,0.9796181940082573,138.80700000000002
836,2013,254.12099999999998,159.121,103.0,0.0,138.468,0.0,0.0,0.0,0.0,0.8702056925232997,138.468
837,2014,256.776,173.84799999999998,91.0,0.0,140.328,0.0,0.0,0.0,0.0,0.8071878882702131,140.328
