,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
838,1990,40.6,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,1991,51.3,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,1992,58.9,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841,1993,67.6,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.02857142857142857,2.0
842,1994,76.7,79.4,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.06801007556675064,5.4
843,1995,80.3,83.3,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.07563025210084033,6.3
844,1996,85.1,88.1,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.08059023836549375,7.1
845,1997,90.2,93.2,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.07725321888412016,7.2
846,1998,98.4,101.6,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.07480314960629922,7.6
847,1999,113.78,117.28,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0665075034106412,7.8
848,2000,142.42,146.42,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.05395437781723809,7.9
849,2001,161.88,165.33,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.038891913143410145,6.43
850,2002,177.865,182.15,0.0,0.0,0.0,5.66,0.0,0.0,0.0,0.031073291243480648,5.66
851,2003,191.72,199.65,0.0,0.0,0.0,5.37,0.0,0.0,0.0,0.026897069872276483,5.37
852,2004,211.93099999999998,219.81,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.02925253628133388,6.43
853,2005,227.73,237.06,0.0,0.0,0.0,6.45,0.0,0.0,0.0,0.02720830169577322,6.45
854,2006,243.21,251.94,0.0,0.0,0.0,7.44,0.0,0.0,0.0,0.029530840676351516,7.44
855,2007,260.17,269.53,0.0,0.0,0.0,6.87,0.0,0.0,0.0,0.025488813861165735,6.87
856,2008,274.85,286.8,0.0,0.0,0.0,5.51,0.0,0.0,0.0,0.01921199442119944,5.51
857,2009,298.24,309.49,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.01505702930627807,4.66
858,2010,335.88,346.7,0.0,0.0,0.0,1.99,2.11,0.0,0.0,0.011825785982117103,4.1
859,2011,353.0,365.48,0.0,0.0,0.0,15.61,8.96,0.0,0.0,0.06722666082959396,24.57
860,2012,363.93,375.08,0.0,0.0,0.0,61.4,7.49,0.0,0.0,0.1836674842700224,68.89
861,2013,394.11,404.23,0.0,0.0,0.0,75.82,7.28,0.0,0.0,0.2055760334463053,83.1
862,2014,398.18,408.81,0.0,0.0,0.0,65.67,5.02,0.0,0.0,0.17291651378390938,70.69
