,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
863,1990,164.0,164.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.3475609756097561,57.0
864,1991,182.0,182.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.21978021978021978,40.0
865,1992,202.0,202.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.23267326732673269,47.0
866,1993,224.0,224.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.1875,42.0
867,1994,249.0,249.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.1686746987951807,42.0
868,1995,238.0,249.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.20481927710843373,51.0
869,1996,317.0,329.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.23708206686930092,78.0
870,1997,366.0,376.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.15425531914893617,58.0
871,1998,343.0,350.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.14285714285714285,50.0
872,1999,314.0,324.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.13580246913580246,44.0
873,2000,315.0,326.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.1411042944785276,46.0
874,2001,274.0,280.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.10714285714285714,30.0
875,2002,559.0,566.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.05123674911660778,29.0
876,2003,632.0,635.0,8.0,0.0,41.0,0.0,0.0,0.0,0.0,0.06456692913385827,41.0
877,2004,807.0,765.0,59.0,0.0,28.0,0.0,0.0,0.0,0.0,0.036601307189542485,28.0
878,2005,965.0,964.0,29.0,0.0,44.0,0.0,1.0,0.0,0.0,0.046680497925311204,45.0
879,2006,1195.0,1176.0,54.0,0.0,48.0,0.0,2.0,0.0,0.0,0.04251700680272109,50.0
880,2007,1537.0,1489.0,103.0,0.0,47.0,0.0,2.0,0.0,0.0,0.03290799194089993,49.0
881,2008,1725.0,1479.0,276.0,0.0,43.0,0.0,2.0,0.0,0.0,0.030425963488843813,45.0
882,2009,1955.0,1256.0,725.0,0.0,37.0,0.0,2.0,0.0,0.0,0.03105095541401274,39.0
883,2010,2322.0,994.0,1357.0,0.0,26.0,0.0,3.0,0.0,0.0,0.029175050301810865,29.0
884,2011,2666.0,1053.0,1644.0,0.0,45.0,0.0,3.0,0.0,0.0,0.045584045584045586,48.0
885,2012,3297.0,1434.0,1891.0,0.0,517.0,0.0,3.0,0.0,0.0,0.36262203626220363,520.0
886,2013,3805.0,1778.0,2050.0,0.0,1016.0,0.0,3.0,0.0,0.0,0.5731158605174353,1019.0
887,2014,4826.0,3059.0,1803.0,0.0,1852.0,0.0,3.0,0.0,0.0,0.6064073226544623,1855.0
