,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
888,1990,2716.0,2731.0,0.0,0.0,2656.0,0.0,0.0,0.0,0.0,0.972537532039546,2656.0
889,1991,2731.0,2746.0,0.0,0.0,2671.0,0.0,0.0,0.0,0.0,0.9726875455207574,2671.0
890,1992,2767.0,2782.0,0.0,0.0,2702.0,0.0,0.0,0.0,0.0,0.9712437095614666,2702.0
891,1993,2867.0,2885.0,0.0,0.0,2802.0,0.0,0.0,0.0,0.0,0.9712305025996534,2802.0
892,1994,2765.0,2776.0,0.0,0.0,2688.0,0.0,0.0,0.0,0.0,0.968299711815562,2688.0
893,1995,2832.0,2844.0,0.0,0.0,2753.0,0.0,0.0,0.0,0.0,0.9680028129395218,2753.0
894,1996,2950.0,2963.0,0.0,0.0,2868.0,0.0,0.0,0.0,0.0,0.9679379007762403,2868.0
895,1997,3115.0,3128.0,0.0,0.0,3092.0,0.0,0.0,0.0,0.0,0.9884910485933504,3092.0
896,1998,3168.0,3168.0,0.0,0.0,3116.0,0.0,0.0,0.0,0.0,0.9835858585858586,3116.0
897,1999,3376.0,3376.0,0.0,0.0,3334.0,0.0,0.0,0.0,0.0,0.9875592417061612,3334.0
898,2000,3480.0,3480.0,0.0,0.0,3442.0,0.0,0.0,0.0,0.0,0.9890804597701149,3442.0
899,2001,3541.0,3541.0,0.0,0.0,3474.0,0.0,0.0,0.0,0.0,0.9810787913018921,3474.0
900,2002,3300.0,3300.0,0.0,0.0,3182.0,0.0,0.0,0.0,0.0,0.9642424242424242,3182.0
901,2003,3684.0,3684.0,0.0,0.0,3528.0,0.0,0.0,0.0,0.0,0.9576547231270358,3528.0
902,2004,4110.0,4110.0,0.0,0.0,3920.0,0.0,0.0,0.0,0.0,0.9537712895377128,3920.0
903,2005,4004.0,4004.0,0.0,0.0,3772.0,0.0,0.0,0.0,0.0,0.942057942057942,3772.0
904,2006,4866.0,5106.0,0.0,0.0,3892.0,0.0,0.0,0.0,0.0,0.7622405013709361,3892.0
905,2007,4707.0,5243.0,0.0,0.0,3847.0,0.0,0.0,0.0,0.0,0.7337402250619874,3847.0
906,2008,5197.0,5681.0,0.0,0.0,4232.0,0.0,0.0,0.0,0.0,0.7449392712550608,4232.0
907,2009,5202.0,5783.0,0.0,0.0,4016.0,0.0,0.0,0.0,0.0,0.694449247795262,4016.0
908,2010,5443.0,5899.0,0.0,0.0,4260.0,0.0,0.0,0.0,0.0,0.7221562976775725,4260.0
909,2011,5354.0,5943.0,0.0,0.0,4397.0,0.0,0.0,0.0,0.0,0.739862022547535,4397.0
910,2012,5606.0,6263.0,0.0,0.0,4599.0,0.0,0.0,0.0,0.0,0.7343126297301613,4599.0
911,2013,5942.0,6849.0,0.0,0.0,4855.0,0.0,0.0,0.0,0.0,0.7088626076799532,4855.0
912,2014,6165.0,6922.0,0.0,0.0,5068.0,0.0,0.0,0.0,0.0,0.7321583357411153,5068.0
