,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
913,1990,467185.0,482152.0,17781.0,18130.0,296848.0,0.0,0.0,0.0,26.0,0.6157269906585475,296874.0
914,1991,474490.0,508572.0,6094.0,24522.0,308375.0,0.0,0.0,0.0,32.0,0.6064175770589022,308407.0
915,1992,479327.0,520390.0,6477.0,31528.0,316489.0,59.0,2.0,0.0,33.0,0.6083571936432292,316583.0
916,1993,488572.0,532228.0,7551.0,34968.0,323667.0,59.0,3.0,0.0,33.0,0.6083144817634547,323762.0
917,1994,494576.0,555784.0,7005.0,50919.0,329945.0,59.0,3.0,0.0,33.0,0.5938278180012379,330040.0
918,1995,506766.0,560116.0,7422.0,43444.0,336034.0,59.0,4.0,0.0,33.0,0.6001078348056474,336130.0
919,1996,518268.0,573040.0,6183.0,43839.0,355758.0,62.0,6.0,0.0,32.0,0.6210002792126205,355858.0
920,1997,520449.0,573711.0,9499.0,45230.0,350809.0,62.0,7.0,0.0,32.0,0.6116494193069333,350910.0
921,1998,516533.0,561760.0,17277.0,44612.0,332001.0,62.0,10.0,0.0,32.0,0.5911866277413842,332105.0
922,1999,530347.0,579056.0,16016.0,44896.0,345874.0,164.0,13.0,0.0,32.0,0.597667583100771,346083.0
923,2000,550811.0,605707.0,15342.0,50983.0,358620.0,264.0,16.0,0.0,32.0,0.5925835428680863,358932.0
924,2001,547185.0,589891.0,16116.0,39244.0,333430.0,337.0,19.0,0.0,32.0,0.5658977675536667,333818.0
925,2002,561867.0,601269.0,16088.0,36117.0,350665.0,408.0,22.0,0.0,32.0,0.5839765562501975,351127.0
926,2003,563541.0,589653.0,24520.0,31311.0,337556.0,826.0,23.0,0.0,33.0,0.5739612958807977,338438.0
927,2004,569498.0,599976.0,22857.0,33666.0,340946.0,954.0,13.0,0.0,31.0,0.5699294638452205,341944.0
928,2005,578172.0,621705.0,18680.0,42332.0,362031.0,1567.0,17.0,0.0,28.0,0.5849124584811124,363643.0
929,2006,570451.0,607470.0,22075.0,39742.0,352963.0,2473.0,21.0,0.0,19.0,0.5851745765222974,355476.0
930,2007,575831.0,626521.0,18431.0,49332.0,367695.0,3007.0,26.0,0.0,23.0,0.5917614892397861,370751.0
931,2008,577875.0,629473.0,23261.0,55491.0,377561.0,3788.0,35.0,0.0,15.0,0.6059020799938997,381399.0
932,2009,554446.0,606346.0,17493.0,51152.0,368762.0,6641.0,5.0,0.0,30.0,0.6191811276070098,375438.0
933,2010,552541.0,595951.0,18609.0,43627.0,351461.0,8724.0,117.0,0.0,28.0,0.604630246446436,360330.0
934,2011,574075.0,629901.0,14398.0,51076.0,375797.0,10187.0,260.0,0.0,26.0,0.6132233477959235,386270.0
935,2012,567179.0,632921.0,10841.0,57639.0,380340.0,11310.0,319.0,0.0,27.0,0.6193442783538546,391996.0
936,2013,589217.0,660795.0,10694.0,62578.0,391861.0,17963.0,1499.0,0.0,15.0,0.6224895769489781,411338.0
937,2014,591137.0,656225.0,12808.0,58421.0,382574.0,22538.0,1756.0,0.0,16.0,0.6200373347556097,406884.0
