,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
938,1990,225.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
939,1991,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,1992,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
941,1993,263.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
942,1994,284.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
943,1995,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,1996,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945,1997,360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,1998,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,1999,405.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,2000,441.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,2001,465.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,2002,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,2003,506.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,2004,451.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,2005,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,2006,555.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,2007,604.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,2008,615.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,2009,626.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,2010,624.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,2011,626.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,2012,607.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,2013,615.05,615.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,2014,620.74,620.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
