,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
963,1990,95.0,95.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.8105263157894737,77.0
964,1991,94.0,94.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.8085106382978723,76.0
965,1992,96.0,96.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.8125,78.0
966,1993,97.0,97.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.8041237113402062,78.0
967,1994,101.0,101.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.7920792079207921,80.0
968,1995,102.0,102.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.7941176470588235,81.0
969,1996,104.0,104.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.7884615384615384,82.0
970,1997,104.0,104.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.7884615384615384,82.0
971,1998,104.0,104.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.7884615384615384,82.0
972,1999,107.0,107.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.7850467289719626,84.0
973,2000,107.0,107.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.7850467289719626,84.0
974,2001,108.0,108.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.7685185185185185,83.0
975,2002,108.0,108.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.7685185185185185,83.0
976,2003,110.0,110.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.7636363636363637,84.0
977,2004,149.0,150.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.8333333333333334,125.0
978,2005,158.0,160.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.8375,134.0
979,2006,165.0,167.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.8383233532934131,140.0
980,2007,160.0,161.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.8509316770186336,137.0
981,2008,160.0,161.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.8509316770186336,137.0
982,2009,158.0,160.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.85,136.0
983,2010,157.6,160.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.84375,135.0
984,2011,165.0,174.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.8448275862068966,147.0
985,2012,168.0,177.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.847457627118644,150.0
986,2013,170.0,181.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.856353591160221,155.0
987,2014,172.0,183.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.8579234972677595,157.0
