,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
988,1990,83.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
989,1991,80.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,1992,77.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
991,1993,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,1994,78.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
993,1995,82.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
994,1996,82.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
995,1997,82.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,1998,83.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
997,1999,83.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998,2000,86.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
999,2001,91.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,2002,98.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,2003,106.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,2004,113.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003,2005,118.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,2006,119.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,2007,118.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006,2008,137.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,2009,167.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008,2010,182.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009,2011,200.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010,2012,186.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011,2013,206.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,2014,206.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
