,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1013,1990,17757.0,18372.0,0.0,0.0,8928.0,0.0,0.0,0.0,0.0,0.48595689092096667,8928.0
1014,1991,19498.0,19961.0,0.0,0.0,13134.0,0.0,0.0,0.0,0.0,0.6579830669806122,13134.0
1015,1992,21984.0,22363.0,0.0,0.0,16750.0,0.0,0.0,0.0,0.0,0.7490050529893127,16750.0
1016,1993,23528.0,24003.0,0.0,0.0,17852.0,0.0,0.0,0.0,0.0,0.7437403657876099,17852.0
1017,1994,24728.0,25277.0,0.0,0.0,16986.0,0.0,0.0,0.0,0.0,0.6719943031214147,16986.0
1018,1995,27408.0,28027.0,0.0,0.0,18414.0,0.0,0.0,0.0,0.0,0.6570093124487102,18414.0
1019,1996,29873.0,30733.0,0.0,0.0,16841.0,0.0,0.0,0.0,0.0,0.5479777437933167,16841.0
1020,1997,32351.0,33297.0,0.0,0.0,18946.0,0.0,0.0,0.0,0.0,0.5690002102291498,18946.0
1021,1998,34157.0,35509.0,0.0,0.0,15944.0,0.0,0.0,0.0,0.0,0.44901292630037454,15944.0
1022,1999,37280.0,38390.0,114.0,0.0,13590.0,0.0,0.0,0.0,0.0,0.35399843709299295,13590.0
1023,2000,40064.0,40078.0,1190.0,0.0,18516.0,0.0,0.0,0.0,0.0,0.46199910175158443,18516.0
1024,2001,43065.0,42531.0,1386.0,0.0,21003.0,7.0,0.0,0.0,0.0,0.49399261714984366,21010.0
1025,2002,44058.0,43671.0,1813.0,0.0,22265.0,7.0,0.0,0.0,0.0,0.5099951913168922,22272.0
1026,2003,47728.0,46829.0,1950.0,0.0,21674.0,7.0,0.0,0.0,0.0,0.4629823400029896,21681.0
1027,2004,51580.0,51208.0,1903.0,0.0,21979.0,7.0,0.0,0.0,0.0,0.4293469770348383,21986.0
1028,2005,53447.0,52484.0,2152.0,0.0,26483.0,7.0,0.0,0.0,0.0,0.5047252495998781,26490.0
1029,2006,56276.0,55320.0,2285.0,0.0,29129.0,7.0,0.0,0.0,0.0,0.5266811279826464,29136.0
1030,2007,58567.0,58509.0,1628.0,0.0,23130.0,9.0,0.0,0.0,0.0,0.39547761882787263,23139.0
1031,2008,59235.0,59704.0,1154.0,0.0,24193.0,38.0,0.0,0.0,0.0,0.4058522042074233,24231.0
1032,2009,60077.0,60722.0,1348.0,0.0,25296.0,79.0,0.0,0.0,0.0,0.4178880801027634,25375.0
1033,2010,59292.0,60434.0,958.0,0.0,21717.0,332.0,0.0,0.0,0.0,0.36484429294767845,22049.0
1034,2011,63921.0,65713.0,732.0,0.0,21009.0,338.0,0.0,0.0,0.0,0.32485200797406905,21347.0
1035,2012,65840.0,69751.0,0.0,0.0,20158.0,409.0,0.0,0.0,0.0,0.2948631560837837,20567.0
1036,2013,69744.0,73065.0,0.0,0.0,19737.0,554.0,8.0,0.0,0.0,0.2778211181824403,20299.0
1037,2014,72375.0,73719.0,0.0,0.0,23099.0,1443.0,489.0,0.0,0.0,0.33954611429889175,25031.0
