,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1063,1990,27163.0,28960.0,0.0,1797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,1991,28828.0,31889.0,0.0,3061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,1992,30113.0,35076.0,0.0,4963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,1993,31894.0,35948.0,446.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,1994,33236.0,26741.0,8253.0,1758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,1995,33979.0,27916.0,7546.0,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,1996,35687.0,28440.0,7778.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,1997,36260.0,28943.0,7876.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071,1998,38564.0,31414.0,7760.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,1999,38564.0,29496.0,9701.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073,2000,40351.0,31329.0,10203.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074,2001,41203.0,32429.0,10355.0,1581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,2002,42319.0,34312.0,10182.0,2175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1076,2003,42895.0,35506.0,10397.0,3008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,2004,43879.0,37129.0,9837.0,3087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,2005,44951.0,38448.0,11001.0,4498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079,2006,44982.0,38613.0,10897.0,4528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080,2007,45872.0,38948.0,10959.0,4035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,2008,45239.0,37990.0,10801.0,3552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082,2009,45960.0,38728.0,10963.0,3731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,2010,46194.0,38292.0,10511.0,2609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1084,2011,46804.0,39026.0,10735.0,2957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,2012,48070.0,38752.0,11156.0,1838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,2013,47382.0,39063.0,9969.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087,2014,48865.0,39803.0,10288.0,1226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
