,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1088,1990,839.0,790.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,1991,937.0,889.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,1992,1056.0,992.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,1993,1207.0,1190.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,1994,1313.0,1254.0,140.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,1995,1374.0,1272.0,180.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094,1996,1469.0,1372.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095,1997,1482.0,1409.0,176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,1998,1625.0,1539.0,173.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1097,1999,1641.0,1532.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,2000,1678.0,1571.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,2001,1690.0,1566.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,2002,1808.0,1701.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,2003,1880.0,1796.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,2004,2027.0,1973.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1103,2005,2288.0,2027.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,2006,2559.0,1669.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105,2007,3137.0,1520.0,1683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,2008,3463.0,1211.0,2311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,2009,3632.0,1466.0,2227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108,2010,3815.0,1077.0,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1109,2011,3999.0,886.0,3165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110,2012,4372.0,561.0,3855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1111,2013,4437.0,413.0,4059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1112,2014,4698.0,641.0,4099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
