,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1038,1990,584260.0,621200.0,1930.0,90.0,126720.0,0.0,0.0,0.0,0.0,0.20399227301996137,126720.0
1039,1991,634820.0,677550.0,3110.0,260.0,125090.0,0.0,0.0,0.0,0.0,0.18462106117629695,125090.0
1040,1992,700060.0,754440.0,4980.0,0.0,132470.0,0.0,0.0,0.0,0.0,0.1755871904989131,132470.0
1041,1993,778715.0,839453.0,4506.0,117.0,151800.0,0.0,0.0,0.0,0.0,0.18083204181770748,151800.0
1042,1994,857362.0,928083.0,1847.0,3893.0,168113.0,0.0,0.0,0.0,0.0,0.18114004889648877,168113.0
1043,1995,922816.0,1007726.0,639.0,6025.0,190577.0,0.0,0.0,0.0,0.0,0.18911589062900033,190577.0
1044,1996,994266.0,1081310.0,124.0,3712.0,187966.0,0.0,0.0,0.0,0.0,0.17383174112881597,187966.0
1045,1997,1031174.0,1134471.0,89.0,7204.0,195983.0,0.0,0.0,0.0,0.0,0.17275276318213512,195983.0
1046,1998,1065243.0,1166200.0,20.0,7170.0,208000.0,0.0,0.0,0.0,0.0,0.1783570571085577,208000.0
1047,1999,1129255.0,1239300.0,370.0,9150.0,203810.0,0.0,0.0,0.0,0.0,0.1644557411441943,203810.0
1048,2000,1253597.0,1355600.0,1546.0,9878.0,222414.0,0.0,0.0,0.0,0.0,0.1640705222779581,222414.0
1049,2001,1359915.0,1471657.0,1796.0,10191.0,277432.0,0.0,0.0,0.0,0.0,0.18851675356417968,277432.0
1050,2002,1496004.0,1653999.8,2300.0,9704.0,287974.0,0.0,0.0,0.0,0.0,0.17410763894892853,287974.0
1051,2003,1729740.0,1910575.3,2980.0,10339.0,283681.0,0.0,0.0,0.0,0.0,0.14847936116414778,283681.0
1052,2004,2000014.0,2203310.2,3400.0,9476.0,353544.0,0.0,0.0,0.0,0.0,0.16046038365364984,353544.0
1053,2005,2294896.0,2500259.9,5011.0,11194.0,397017.0,0.0,0.0,0.0,0.0,0.15879029216122692,397017.0
1054,2006,2628186.0,2865726.0,5389.0,12271.0,435786.0,0.0,0.0,0.0,0.0,0.1520682717049711,435786.0
1055,2007,3017115.0,3281552.9,4251.0,14566.0,485264.0,0.0,0.0,0.0,0.0,0.1478763301362596,485264.0
1056,2008,3187380.0,3408753.3,3842.0,16644.0,585187.0,0.0,0.0,0.0,0.0,0.17167185434041238,585187.0
1057,2009,3421094.0,3714650.0,6006.0,17386.0,615640.0,0.0,0.0,0.0,0.0,0.16573297618887378,615640.0
1058,2010,3881719.0,4207160.4,5545.0,19059.0,722172.0,44622.0,0.0,0.0,0.0,0.1822592739749119,766794.0
1059,2011,4319132.0,4713019.0,6562.0,19307.0,698945.0,70331.0,0.0,0.0,0.0,0.16322361526656268,769276.0
1060,2012,4609729.0,4987553.0,6874.0,17653.0,872107.0,95978.0,0.0,0.0,0.0,0.19410019302050524,968085.0
1061,2013,5016127.0,5431637.4,7438.0,18669.0,920291.0,141197.0,5564.0,0.0,0.0,0.19645125795768326,1067052.0
1062,2014,5219096.0,5649583.4,6750.0,18158.0,1064337.0,156078.0,15189.0,0.0,0.0,0.2187070997128744,1235604.0
