,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1113,1990,34995.0,36166.0,278.0,0.0,27523.0,0.0,0.0,0.0,0.0,0.7610186362882265,27523.0
1114,1991,35194.0,36661.0,0.0,0.0,27485.0,0.0,0.0,0.0,0.0,0.7497067728648973,27485.0
1115,1992,34575.0,35064.0,348.0,0.0,22326.0,0.0,0.0,0.0,0.0,0.6367214236824094,22326.0
1116,1993,39726.0,40221.0,303.0,0.0,27898.0,0.0,0.0,0.0,0.0,0.693617761865692,27898.0
1117,1994,42615.0,43040.0,280.0,0.0,32111.0,0.0,0.0,0.0,0.0,0.7460734200743494,32111.0
1118,1995,44768.0,45246.0,370.0,0.0,32202.0,0.0,0.0,0.0,0.0,0.7117093223710383,32202.0
1119,1996,44327.0,44866.0,164.0,0.0,35533.0,0.0,0.0,0.0,0.0,0.7919805643471671,35533.0
1120,1997,45809.0,46378.0,199.0,0.0,31727.0,0.0,0.0,0.0,0.0,0.6840959075423693,31727.0
1121,1998,45102.0,45960.0,85.0,64.0,30782.0,0.0,0.0,0.0,0.0,0.6697563098346389,30782.0
1122,1999,43405.0,44139.0,33.0,27.0,33741.0,0.0,0.0,0.0,0.0,0.7644260178073812,33741.0
1123,2000,43232.0,43943.0,77.0,37.0,32074.0,0.0,0.0,0.0,0.0,0.7299000978540382,32074.0
1124,2001,42673.0,43684.0,40.0,210.0,31798.0,0.0,0.0,0.0,0.0,0.7279095320941306,31798.0
1125,2002,43758.0,45242.0,8.0,618.0,33968.0,0.0,0.0,0.0,0.0,0.7508067724680606,33968.0
1126,2003,45776.0,47682.0,69.0,1182.0,36216.0,0.0,0.0,0.0,0.0,0.759531898829747,36216.0
1127,2004,47624.0,50228.0,48.0,1682.0,40056.0,52.0,0.0,0.0,0.0,0.7985187544795731,40108.0
1128,2005,47687.83,50411.59,16.02,1757.87,39803.11,49.48,0.0,0.0,0.0,0.7905441982686919,39852.590000000004
1129,2006,51014.0,53852.0,21.0,1813.0,42742.0,63.0,0.0,0.0,0.0,0.7948637005125158,42805.0
1130,2007,53242.0,55314.0,39.0,877.0,44445.0,49.0,0.0,0.0,0.0,0.8043894854828796,44494.0
1131,2008,58947.0,61192.0,37.0,610.0,46292.0,0.0,0.0,0.0,0.0,0.7565041181853837,46292.0
1132,2009,59801.0,62574.0,21.0,1074.0,40986.0,58.0,0.0,0.0,0.0,0.655927381979736,41044.0
1133,2010,57699.0,60234.0,10.0,796.0,40527.0,38.0,0.0,0.0,0.0,0.6734568516120464,40565.0
1134,2011,63138.0,66472.0,8.0,1540.0,48917.0,41.0,0.0,0.0,0.0,0.7365206402695872,48958.0
1135,2012,65794.0,68344.0,7.0,713.0,47600.0,55.0,0.0,0.0,0.0,0.697281399976589,47655.0
1136,2013,67577.0,70858.0,5.0,1374.0,44377.0,58.0,0.0,0.0,0.0,0.6270992689604561,44435.0
1137,2014,67280.0,70059.0,47.0,849.0,44852.0,58.0,0.0,0.0,0.0,0.6410311309039524,44910.0
