,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1146,1990,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1147,1991,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,1992,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1149,1993,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,1994,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1151,1995,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1152,1996,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,1997,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154,1998,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1155,1999,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1156,2000,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157,2001,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,2002,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159,2003,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,2004,43.9,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1161,2005,47.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,2006,50.1,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,2007,46.8,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,2008,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1165,2009,46.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,2010,63.6,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,2011,57.4,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1168,2012,58.4,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1169,2013,56.1,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,2014,54.6,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
