,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1171,1990,458.0,508.0,14.0,0.0,505.0,0.0,0.0,0.0,0.0,0.9940944881889764,505.0
1172,1991,480.0,482.0,58.0,0.0,479.0,0.0,0.0,0.0,0.0,0.9937759336099585,479.0
1173,1992,476.0,428.0,108.0,0.0,425.0,0.0,0.0,0.0,0.0,0.9929906542056075,425.0
1174,1993,518.0,431.0,162.0,0.0,428.0,0.0,0.0,0.0,0.0,0.9930394431554525,428.0
1175,1994,452.0,365.0,139.0,0.0,362.0,0.0,0.0,0.0,0.0,0.9917808219178083,362.0
1176,1995,420.0,328.0,166.0,0.0,325.0,0.0,0.0,0.0,0.0,0.9908536585365854,325.0
1177,1996,370.0,357.0,95.0,0.0,354.0,0.0,0.0,0.0,0.0,0.9915966386554622,354.0
1178,1997,497.0,459.0,118.0,0.0,456.0,0.0,0.0,0.0,0.0,0.9934640522875817,456.0
1179,1998,374.0,344.0,126.0,0.0,342.0,0.0,0.0,0.0,0.0,0.9941860465116279,342.0
1180,1999,226.0,97.0,191.0,0.0,95.0,0.0,0.0,0.0,0.0,0.979381443298969,95.0
1181,2000,514.0,296.0,262.0,0.0,295.0,0.0,0.0,0.0,0.0,0.9966216216216216,295.0
1182,2001,560.0,335.0,297.0,0.0,334.0,0.0,0.0,0.0,0.0,0.9970149253731343,334.0
1183,2002,685.0,396.0,364.0,0.0,396.0,0.0,0.0,0.0,0.0,1.0,396.0
1184,2003,669.0,399.0,359.0,0.0,342.0,0.0,0.0,0.0,0.0,0.8571428571428571,342.0
1185,2004,736.0,397.0,404.0,0.0,330.0,0.0,0.0,0.0,0.0,0.8312342569269522,330.0
1186,2005,770.0,433.0,418.0,0.0,355.0,0.0,0.0,0.0,0.0,0.8198614318706697,355.0
1187,2006,782.0,453.0,411.0,0.0,372.0,0.0,0.0,0.0,0.0,0.8211920529801324,372.0
1188,2007,798.0,407.0,449.0,0.0,335.0,0.0,0.0,0.0,0.0,0.8230958230958231,335.0
1189,2008,786.0,461.0,436.0,0.0,375.0,0.0,0.0,0.0,0.0,0.8134490238611713,375.0
1190,2009,884.0,539.0,440.0,0.0,330.0,0.0,0.0,0.0,0.0,0.6122448979591837,330.0
1191,2010,977.0,784.0,281.0,0.0,429.0,0.0,0.0,0.0,0.0,0.5471938775510204,429.0
1192,2011,1175.0,1293.0,27.0,0.0,791.0,0.0,0.0,0.0,0.0,0.6117556071152359,791.0
1193,2012,1534.0,1700.0,25.0,0.0,987.0,0.0,0.0,0.0,0.0,0.5805882352941176,987.0
1194,2013,1554.0,1709.0,56.0,19.0,971.0,0.0,0.0,0.0,0.0,0.5681685196021065,971.0
1195,2014,1541.0,1740.0,18.0,22.0,952.0,0.0,0.0,0.0,0.0,0.5471264367816092,952.0
