,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1196,1990,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1197,1991,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198,1992,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,1993,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,1994,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,1995,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202,1996,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1203,1997,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,1998,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1205,1999,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206,2000,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207,2001,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,2002,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,2003,29.1,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1210,2004,29.8,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,2005,29.9,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,2006,32.2,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213,2007,33.7,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1214,2008,33.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1215,2009,32.7,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1216,2010,33.7,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217,2011,33.6,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1218,2012,32.9,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1219,2013,32.5,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220,2014,31.8,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
