,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1221,1990,3706.0,3544.0,289.0,126.0,3497.0,0.0,0.0,0.0,0.0,0.9867381489841986,3497.0
1222,1991,3826.0,3808.0,194.0,174.0,3630.0,0.0,0.0,0.0,0.0,0.9532563025210085,3630.0
1223,1992,4078.0,4144.0,34.0,98.0,3559.0,0.0,0.0,0.0,0.0,0.8588320463320464,3559.0
1224,1993,4381.0,4386.0,78.0,81.0,3961.0,0.0,0.0,0.0,0.0,0.9031007751937985,3961.0
1225,1994,4663.0,4717.0,136.0,179.0,3547.0,0.0,0.0,342.0,0.0,0.8244647021411914,3889.0
1226,1995,4878.0,4863.0,179.0,151.0,3620.0,0.0,23.0,468.0,0.0,0.8453629446843512,4111.0
1227,1996,5003.0,4894.0,233.0,109.0,3937.0,0.0,23.0,510.0,0.0,0.913363302002452,4470.0
1228,1997,5437.0,5589.0,107.0,241.0,4789.0,0.0,76.0,544.0,0.0,0.9677938808373591,5409.0
1229,1998,5369.0,5387.0,76.0,68.0,4261.0,89.0,0.0,591.0,0.0,0.9172080935585669,4941.0
1230,1999,5971.0,6177.0,1.0,128.0,5135.0,101.0,0.0,804.0,0.0,0.9778209486805893,6040.0
1231,2000,6356.0,6910.0,22.0,497.0,5674.0,183.0,0.0,976.0,0.0,0.9888567293777134,6833.0
1232,2001,6609.0,6941.0,128.0,379.0,5654.0,185.0,0.0,986.0,0.0,0.9832877107045095,6825.0
1233,2002,6805.0,7485.0,59.0,478.0,5930.0,259.0,0.0,1121.0,0.0,0.9766199064796259,7310.0
1234,2003,7420.0,7566.0,194.0,273.0,5923.0,306.0,0.0,920.0,0.0,0.9448850118953211,7149.0
1235,2004,7858.0,8209.0,202.0,440.0,6486.0,257.0,0.0,1116.0,0.0,0.9573638689243513,7859.0
1236,2005,8172.883333,8259.49999922222,81.0,70.0,6565.566667,203.61111100000002,0.17222222222222197,1148.333333,0.0,0.9586153319169217,7917.683333222223
1237,2006,8678.197222,8697.05277677778,149.0,60.0,6600.897222,273.497222,0.17777777777777803,1214.888889,0.0,0.9301382110015074,8089.461110777777
1238,2007,9110.619444,9049.58333277778,203.0,40.0,6768.6111120000005,241.06111099999998,0.17777777777777803,1238.530555,0.0,0.9114652302169506,8248.380555777778
1239,2008,9313.177778,9473.811111777779,96.0,166.0,7386.102778,198.175,0.17777777777777803,1130.863889,0.0,0.9199380631457758,8715.319444777779
1240,2009,9260.511111,9311.23888777778,151.0,134.0,7224.458333,326.183333,0.17777777777777803,1185.838889,0.0,0.9382917180060524,8736.658332777777
1241,2010,9511.592222,9583.319443,164.58,135.66,7262.294444,358.675,0.258333,1176.080555,0.0,0.9179813304069572,8797.308332
1242,2011,9703.725,9831.45555555556,282.908333333333,319.686111111111,7134.625,414.475,0.48055555555555607,1279.54166666667,0.0,0.8980483278727802,8829.122222222226
1243,2012,10082.25,10174.336111111099,419.186111111111,402.44444444444395,7233.2,528.383333333333,1.29722222222222,1402.55,0.0,0.9008381928277612,9165.430555555555
1244,2013,10173.0,10235.0,531.0,484.0,6851.0,485.0,3.0,1517.0,0.0,0.865266243282853,8856.0
1245,2014,10304.0,10217.0,759.0,555.0,6717.0,735.0,3.0,1538.0,0.0,0.8801996672212978,8993.0
