,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1348,1990,2414.0,2439.0,0.0,0.0,1464.0,0.0,0.0,0.0,0.0,0.6002460024600246,1464.0
1349,1991,1830.0,1857.0,0.0,0.0,1288.0,0.0,0.0,0.0,0.0,0.6935918147549811,1288.0
1350,1992,1819.0,1851.0,0.0,0.0,1048.0,0.0,0.0,0.0,0.0,0.5661804430037818,1048.0
1351,1993,2145.0,2179.0,0.0,0.0,1365.0,0.0,0.0,0.0,0.0,0.6264341441027994,1365.0
1352,1994,2211.0,2245.0,0.0,0.0,1257.0,0.0,0.0,0.0,0.0,0.5599109131403118,1257.0
1353,1995,2920.0,2955.0,0.0,0.0,1727.0,0.0,0.0,0.0,0.0,0.5844331641285956,1727.0
1354,1996,2754.0,3225.0,0.0,436.0,1775.0,0.0,0.0,0.0,0.0,0.5503875968992248,1775.0
1355,1997,2988.0,3983.0,0.0,950.0,1868.0,0.0,0.0,0.0,0.0,0.46899322119005776,1868.0
1356,1998,3371.0,4050.0,1.0,594.0,1377.0,0.0,0.0,0.0,0.0,0.34,1377.0
1357,1999,3472.0,4830.0,203.0,1492.0,1754.0,0.0,0.0,0.0,0.0,0.36314699792960664,1754.0
1358,2000,3516.0,4813.0,301.0,1538.0,1764.0,0.0,0.0,0.0,0.0,0.3665073758570538,1764.0
1359,2001,3688.0,4903.0,0.0,1155.0,1800.0,0.0,0.0,0.0,0.0,0.3671221700999388,1800.0
1360,2002,3690.0,5309.0,0.0,1563.0,1730.0,0.0,0.0,0.0,0.0,0.3258617442079488,1730.0
1361,2003,3720.3,5092.8,0.0,1325.0,1832.0,0.0,0.0,0.0,0.0,0.35972353125981776,1832.0
1362,2004,3939.0,5403.0,0.0,1409.0,1748.0,0.0,0.0,0.0,0.0,0.3235239681658338,1748.0
1363,2005,4110.2,5565.8,0.0,1396.0,1433.0,0.0,0.0,0.0,0.0,0.2574652341083043,1433.0
1364,2006,4452.0,5644.0,0.0,1066.0,1510.0,0.0,0.0,0.0,0.0,0.2675407512402551,1510.0
1365,2007,4577.0,5631.0,0.0,772.0,1797.0,0.0,0.0,0.0,0.0,0.31912626531699523,1797.0
1366,2008,4911.0,5800.0,0.0,599.0,1898.0,0.0,0.0,0.0,0.0,0.3272413793103448,1898.0
1367,2009,5093.0,5871.0,0.0,484.0,2131.0,0.0,0.0,0.0,0.0,0.36297053312893884,2131.0
1368,2010,5321.0,5965.0,145.0,491.0,1618.0,0.0,0.0,0.0,0.0,0.27124895222129086,1618.0
1369,2011,5201.0,6099.0,22.0,615.0,1774.0,0.0,0.0,0.0,0.0,0.2908673553041482,1774.0
1370,2012,6074.0,7016.0,54.0,645.0,1789.0,0.0,0.0,0.0,0.0,0.25498859749144814,1789.0
1371,2013,6447.0,7650.0,0.0,820.0,1606.0,0.0,0.0,0.0,0.0,0.2099346405228758,1606.0
1372,2014,6995.0,8286.0,0.0,877.0,1913.0,0.0,0.0,0.0,0.0,0.2308713492638185,1913.0
