,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1246,1992,11309.0,8902.0,3419.0,640.0,4349.0,0.0,0.0,0.0,0.0,0.4885419006964727,4349.0
1247,1993,11239.0,9564.0,3583.0,1462.0,4550.0,0.0,0.0,0.0,0.0,0.4757423672103722,4550.0
1248,1994,11525.0,8773.0,4547.0,1487.0,5435.0,0.0,0.0,0.0,0.0,0.6195144192408526,5435.0
1249,1995,11960.0,9276.0,4382.0,1304.0,5683.0,0.0,0.0,0.0,0.0,0.6126563173781803,5683.0
1250,1996,12590.0,11173.0,3960.0,2265.0,7863.0,0.0,0.0,0.0,0.0,0.703750111876846,7863.0
1251,1997,13250.0,10248.0,4608.0,1226.0,5864.0,0.0,0.0,0.0,0.0,0.5722092115534738,5864.0
1252,1998,13790.0,11462.0,3783.0,993.0,6030.0,0.0,0.0,0.0,0.0,0.5260861978712267,6030.0
1253,1999,14154.0,12979.0,2956.0,1333.0,7329.0,0.0,0.0,0.0,0.0,0.5646814084290007,7329.0
1254,2000,14274.0,11281.0,4386.0,965.0,6471.0,0.0,0.0,0.0,0.0,0.5736193599858168,6471.0
1255,2001,14841.0,12809.0,3744.0,1222.0,7219.0,0.0,0.0,0.0,0.0,0.5635881021156999,7219.0
1256,2002,15181.0,12772.0,3927.0,892.0,5918.0,0.0,0.0,0.0,0.0,0.4633573441904165,5918.0
1257,2003,15927.0,13252.0,4479.0,1168.0,5518.0,0.0,0.0,0.0,0.0,0.4163899788711138,5518.0
1258,2004,16359.0,13990.0,5298.0,2302.0,7720.0,2.0,0.0,0.0,0.0,0.5519656897784132,7722.0
1259,2005,16958.0,13162.0,8746.0,4337.0,7141.0,10.0,0.0,0.0,0.0,0.5433064883756268,7151.0
1260,2006,17398.0,13047.0,8313.0,3308.0,6741.0,19.0,0.0,0.0,0.0,0.5181267724381083,6760.0
1261,2007,17830.0,12709.0,7812.0,1915.0,4864.0,35.0,0.0,0.0,0.0,0.3854748603351955,4899.0
1262,2008,18229.0,12891.0,12254.0,6242.0,5891.0,40.0,0.0,0.0,0.0,0.460088433791017,5931.0
1263,2009,17915.0,13455.0,11892.0,6889.0,7494.0,54.0,0.0,0.0,0.0,0.5609810479375696,7548.0
1264,2010,18248.0,14902.0,12415.0,8447.0,9232.0,139.0,0.0,0.0,0.0,0.6288417662058784,9371.0
1265,2011,17922.0,11373.0,13985.0,6830.0,5162.0,201.0,0.0,0.0,0.0,0.4715554383188253,5363.0
1266,2012,17596.0,10755.0,13174.0,5743.0,4999.0,329.0,2.0,0.0,0.0,0.49558344955834494,5330.0
1267,2013,17379.0,14052.0,11260.0,7391.0,8727.0,517.0,11.0,0.0,0.0,0.6586251067463706,9255.0
1268,2014,16944.0,13554.0,10898.0,6945.0,9125.0,730.0,35.0,0.0,0.0,0.7296738970045743,9890.0
