,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1269,1990,13661.0,14678.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0070854339828314485,104.0
1270,1991,11928.0,12741.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.008476571697668942,108.0
1271,1992,10739.0,11538.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.00875368348067256,101.0
1272,1993,10242.0,11004.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.00936023264267539,103.0
1273,1994,11136.0,11964.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.005098629220996322,61.0
1274,1995,11582.0,12459.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.005939481499317762,74.0
1275,1996,12369.0,13236.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.007177394983378664,95.0
1276,1997,13196.0,14146.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.009189876997030963,130.0
1277,1998,13191.0,14149.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.006855608170188706,97.0
1278,1999,13563.0,14492.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0071073695832183275,103.0
1279,2000,14104.0,15032.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.005920702501330495,89.0
1280,2001,14352.0,15300.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.004901960784313725,75.0
1281,2002,14713.0,15699.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.006752022421810306,106.0
1282,2003,14840.0,15811.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.008095629624944659,128.0
1283,2004,14677.0,15633.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0056291178916394805,88.0
1284,2005,14419.0,15341.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.004432566325532886,68.0
1285,2006,15584.0,16469.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.005707693241848321,94.0
1286,2007,16694.0,17622.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.00686641697877653,121.0
1287,2008,16784.0,17681.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.007804988405633166,138.0
1288,2009,16841.0,17727.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.008518079765329723,151.0
1289,2010,16484.0,17387.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0055788807729913155,97.0
1290,2011,16812.0,17759.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.005574638211611014,99.0
1291,2012,17450.0,18432.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.006022135416666667,111.0
1292,2013,18121.3,19139.6,0.0,0.0,127.3,0.0,0.0,0.0,0.0,0.006651131685092688,127.3
1293,2014,18310.1,19366.0,0.0,0.0,104.1,0.0,0.0,0.0,0.0,0.005375400185892802,104.1
