,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1297,1990,1927.0,1974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,1991,2032.0,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,1992,2291.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,1993,2453.0,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,1994,2552.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,1995,2352.0,2497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,1996,2464.0,2609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1304,1997,2576.0,2728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1305,1998,2811.0,2991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,1999,2986.0,3139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307,2000,3205.0,3370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1308,2001,3364.0,3551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,2002,3574.0,3785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,2003,3830.0,4052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1311,2004,3975.0,4201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1312,2005,4131.0,4377.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002284669865204478,1.0
1313,2006,4397.0,4652.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00021496130696474635,1.0
1314,2007,4606.0,4871.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0004105933073290905,2.0
1315,2008,4806.0,5079.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0005906674542232723,3.0
1316,2009,4949.0,5215.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0007670182166826462,4.0
1317,2010,5100.0,5322.0,0.0,0.0,0.0,31.0,7.0,0.0,0.0,0.007140172867343104,38.0
1318,2011,4698.0,4929.0,0.0,0.0,0.0,114.0,12.0,0.0,0.0,0.02556299452221546,126.0
1319,2012,4543.0,4717.0,0.0,0.0,0.0,185.0,22.0,0.0,0.0,0.04388382446470214,207.0
1320,2013,4119.0,4290.0,0.0,0.0,0.0,231.0,47.0,0.0,0.0,0.0648018648018648,278.0
1321,2014,4145.0,4350.0,0.0,0.0,0.0,182.0,84.0,0.0,0.0,0.06114942528735632,266.0
