,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1322,1992,52008.0,59293.0,6156.0,9192.0,1638.0,0.0,0.0,0.0,0.0,0.02762552071914054,1638.0
1323,1993,52566.0,58881.0,5952.0,8056.0,1596.0,0.0,0.0,0.0,0.0,0.027105517909002903,1596.0
1324,1994,53972.0,58705.0,5415.0,5860.0,1776.0,0.0,0.0,0.0,0.0,0.030252959713823354,1776.0
1325,1995,56923.0,60847.0,6722.0,6304.0,2274.0,0.0,0.0,0.0,0.0,0.03737242592075205,2274.0
1326,1996,59300.0,64257.0,8811.0,8814.0,2403.0,0.0,0.0,0.0,0.0,0.03739670386105794,2403.0
1327,1997,58251.0,64598.0,9013.0,10201.0,2080.0,0.0,0.0,0.0,0.0,0.03219913929223815,2080.0
1328,1998,57149.0,65112.0,8383.0,10844.0,1884.0,0.0,0.0,0.0,0.0,0.028934758569848874,1884.0
1329,1999,56099.0,64694.0,8983.0,12258.0,2216.0,0.0,0.0,0.0,0.0,0.034253562927010234,2216.0
1330,2000,57248.0,73466.0,8725.0,18742.0,2313.0,0.0,0.0,0.0,0.0,0.031483951759997825,2313.0
1331,2001,58685.0,74647.0,9380.0,18919.0,2467.0,0.0,0.0,0.0,0.0,0.03304888341125564,2467.0
1332,2002,58527.0,76348.0,9502.0,20889.0,2845.0,2.0,0.0,0.0,0.0,0.03728977838319275,2847.0
1333,2003,59894.0,83227.0,10086.0,26299.0,1794.0,4.0,0.0,0.0,0.0,0.02160356615040792,1798.0
1334,2004,61472.0,84333.0,9776.0,25493.0,2562.0,10.0,0.0,0.0,0.0,0.030498144261439767,2572.0
1335,2005,62691.0,82578.0,12351.0,24985.0,3027.0,21.0,0.0,0.0,0.0,0.03691055729128823,3048.0
1336,2006,64307.0,84361.0,11466.0,24097.0,3257.0,49.0,1.0,0.0,0.0,0.039200578466352935,3307.0
1337,2007,64661.0,88198.0,10204.0,26357.0,2523.0,125.0,2.0,0.0,0.0,0.030046032789859182,2650.0
1338,2008,65132.0,83518.0,8520.0,19989.0,2376.0,245.0,13.0,0.0,0.0,0.031538111544816685,2634.0
1339,2009,61592.0,82250.0,8586.0,22230.0,2982.0,288.0,89.0,0.0,0.0,0.04083890577507599,3359.0
1340,2010,63713.0,85910.0,6642.0,21590.0,3380.0,335.0,616.0,0.0,0.0,0.050413223140495865,4331.0
1341,2011,63031.0,87561.0,10457.0,27501.0,2664.0,397.0,2182.0,0.0,0.0,0.05987825630132136,5243.0
1342,2012,62978.0,87573.0,11587.0,28707.0,2860.0,416.0,2149.0,0.0,0.0,0.061948317403766,5425.0
1343,2013,62746.0,87065.0,10571.0,27458.0,3639.0,481.0,2033.0,0.0,0.0,0.0706713375064607,6153.0
1344,2014,62227.0,86024.0,11842.0,28142.0,2961.0,477.0,2123.0,0.0,0.0,0.06464475030224123,5561.0
