,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1373,1990,5632.0,5650.0,58.0,62.0,5625.0,0.0,0.0,0.0,0.0,0.995575221238938,5625.0
1374,1991,5216.0,5281.0,70.0,120.0,5259.0,0.0,0.0,0.0,0.0,0.9958341223253172,5259.0
1375,1992,4861.0,6073.0,35.0,1230.0,6054.0,0.0,0.0,0.0,0.0,0.9968713979911081,6054.0
1376,1993,4165.0,5545.0,53.0,1415.0,5528.0,0.0,0.0,0.0,0.0,0.9969341749323715,5528.0
1377,1994,4264.0,5312.0,48.0,1077.0,5294.0,0.0,0.0,0.0,0.0,0.9966114457831325,5294.0
1378,1995,4327.0,5378.0,48.0,1080.0,5360.0,0.0,0.0,0.0,0.0,0.9966530308664932,5360.0
1379,1996,4408.0,5415.0,50.0,1038.0,5397.0,0.0,0.0,0.0,0.0,0.9966759002770084,5397.0
1380,1997,4414.0,5423.0,50.0,1040.0,5404.0,0.0,0.0,0.0,0.0,0.996496404204315,5404.0
1381,1998,4360.0,4732.0,55.0,404.0,4709.0,0.0,0.0,0.0,0.0,0.9951394759087067,4709.0
1382,1999,4564.0,5322.0,18.0,754.0,5300.0,0.0,0.0,0.0,0.0,0.9958662157083803,5300.0
1383,2000,4710.0,6017.0,6.0,1279.0,5996.0,0.0,0.0,0.0,0.0,0.9965098886488283,5996.0
1384,2001,4773.0,5995.0,12.0,1202.0,5974.0,0.0,0.0,0.0,0.0,0.9964970809007506,5974.0
1385,2002,4785.0,6131.0,20.0,1334.0,6110.0,0.0,0.0,0.0,0.0,0.9965747838851737,6110.0
1386,2003,4823.0,6182.0,3.0,1331.0,6160.0,0.0,0.0,0.0,0.0,0.99644128113879,6160.0
1387,2004,5668.0,7086.0,1.0,1395.0,7078.0,0.0,0.0,0.0,0.0,0.9988710132655941,7078.0
1388,2005,5715.0,7397.0,71.0,1735.0,7390.0,0.0,0.0,0.0,0.0,0.9990536704069217,7390.0
1389,2006,6218.0,7543.0,14.0,1323.0,7497.0,0.0,0.0,0.0,0.0,0.9939016306509346,7497.0
1390,2007,6535.0,7882.0,76.0,1402.0,7795.0,0.0,0.0,0.0,0.0,0.9889621923369704,7795.0
1391,2008,6944.0,7549.0,83.0,674.0,7452.0,0.0,0.0,0.0,0.0,0.9871506159756259,7452.0
1392,2009,7057.0,7854.0,105.0,887.0,7768.0,0.0,0.0,0.0,0.0,0.9890501655207538,7768.0
1393,2010,6656.0,7905.0,161.0,916.0,7819.0,0.0,0.0,0.0,0.0,0.9891208096141683,7819.0
1394,2011,7279.0,7899.0,44.0,171.0,7811.0,0.0,0.0,0.0,0.0,0.9888593492847196,7811.0
1395,2012,7693.0,7595.0,626.0,48.0,7586.0,0.0,0.0,0.0,0.0,0.9988150098749177,7586.0
1396,2013,8297.0,8240.0,626.0,48.0,8231.0,0.0,0.0,0.0,0.0,0.9989077669902913,8231.0
1397,2014,9260.0,8831.0,1138.0,69.0,8820.0,0.0,0.0,0.0,0.0,0.9987543879515344,8820.0
