,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1398,1990,31330.0,25982.0,11973.0,4925.0,28.0,610.0,0.0,0.0,0.0,0.024555461473327687,638.0
1399,1991,32356.0,36545.0,3075.0,5047.0,25.0,740.0,0.0,0.0,0.0,0.020933096182788342,765.0
1400,1992,32571.0,30738.0,8647.0,4901.0,28.0,915.0,0.0,0.0,0.0,0.030678638818400678,943.0
1401,1993,33144.0,33974.0,6279.0,5094.0,28.0,1034.0,0.0,0.0,0.0,0.03125919821039619,1062.0
1402,1994,33408.0,40578.0,1781.0,6621.0,33.0,1137.0,0.0,0.0,0.0,0.02883335797722904,1170.0
1403,1995,33900.0,36758.0,4013.0,4807.0,30.0,1177.0,0.0,0.0,0.0,0.032836389357418796,1207.0
1404,1996,35590.0,53582.0,3781.0,19182.0,19.0,1227.0,0.0,0.0,0.0,0.02325407786196857,1246.0
1405,1997,34621.0,44315.0,3796.0,11048.0,19.0,1934.0,0.0,0.0,0.0,0.044070856369175224,1953.0
1406,1998,34899.0,41113.0,3280.0,7600.0,27.0,2820.0,0.0,0.0,0.0,0.06924816967869044,2847.0
1407,1999,34719.0,38920.0,4963.0,7276.0,31.0,3029.0,1.0,0.0,0.0,0.07864850976361767,3061.0
1408,2000,35092.0,36053.0,8417.0,7752.0,30.0,4241.0,1.0,0.0,0.0,0.11849221978753502,4272.0
1409,2001,35571.0,37729.0,8199.0,8774.0,28.0,4306.0,1.0,0.0,0.0,0.11489835405126031,4335.0
1410,2002,35249.0,39287.0,8939.0,11010.0,32.0,4877.0,1.0,0.0,0.0,0.12497772800162904,4910.0
1411,2003,35192.0,46186.0,7023.0,15568.0,21.0,5561.0,2.0,0.0,0.0,0.12090243796821548,5584.0
1412,2004,35508.0,40436.0,8673.0,11545.0,27.0,6583.0,2.0,0.0,0.0,0.1635176575328915,6612.0
1413,2005,35763.0,36246.0,12943.0,11574.0,23.0,6614.0,2.0,0.0,0.0,0.18316503890084423,6639.0
1414,2006,36228.0,45611.0,6767.0,13702.0,23.0,6108.0,2.0,0.0,0.0,0.1344631777422113,6133.0
1415,2007,36382.0,39316.0,10427.0,11377.0,28.0,7171.0,2.0,0.0,0.0,0.18315698443381828,7201.0
1416,2008,36290.0,36616.0,12815.0,11360.0,26.0,6928.0,3.0,0.0,0.0,0.18999890758138518,6957.0
1417,2009,34775.0,36383.0,11208.0,10874.0,19.0,6721.0,4.0,0.0,0.0,0.18536129511035374,6744.0
1418,2010,35696.0,38862.0,10599.0,11734.0,21.0,7809.0,6.0,0.0,0.0,0.20163656013586537,7836.0
1419,2011,34797.0,35229.0,11694.0,10374.0,17.0,9774.0,15.0,0.0,0.0,0.27835022282778393,9806.0
1420,2012,34223.0,30701.0,15920.0,10706.0,17.0,10270.0,104.0,0.0,0.0,0.33845803068303965,10391.0
1421,2013,34083.0,34760.0,11459.0,10377.0,13.0,11123.0,518.0,0.0,0.0,0.33527042577675487,11654.0
1422,2014,33543.0,32183.0,12702.0,9847.0,15.0,13079.0,596.0,0.0,0.0,0.42537985893173413,13690.0
