,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1423,1990,174.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1424,1991,175.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1425,1992,175.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1426,1993,177.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1427,1994,177.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,1995,179.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1429,1996,179.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430,1997,181.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,1998,181.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1432,1999,175.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1433,2000,175.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1434,2001,184.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1435,2002,194.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1436,2003,194.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1437,2004,208.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1438,2005,288.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439,2006,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1440,2007,321.2,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1441,2008,325.9,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1442,2009,342.7,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443,2010,372.7,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1444,2011,380.5,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1445,2012,387.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,2013,396.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1447,2014,396.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
