,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1448,1990,29.0,30.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.5333333333333333,16.0
1449,1991,30.0,31.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.5161290322580645,16.0
1450,1992,30.0,31.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.5161290322580645,16.0
1451,1993,30.0,31.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.5161290322580645,16.0
1452,1994,33.0,34.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.5,17.0
1453,1995,55.0,56.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.5178571428571429,29.0
1454,1996,59.0,60.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.6,36.0
1455,1997,65.0,66.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.5151515151515151,34.0
1456,1998,69.0,70.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.4714285714285714,33.0
1457,1999,73.0,74.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.43243243243243246,32.0
1458,2000,76.0,77.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.4155844155844156,32.0
1459,2001,79.3,80.9,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.3337453646477132,27.0
1460,2002,78.4,79.9,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.44931163954943676,35.9
1461,2003,76.8,78.5,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.3630573248407643,28.5
1462,2004,77.7,79.2,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0.42550505050505055,33.7
1463,2005,82.2,83.7,0.0,0.0,27.9,0.0,0.0,0.0,0.0,0.3333333333333333,27.9
1464,2006,82.4,85.4,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.3255269320843091,27.8
1465,2007,83.3,86.4,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.2534722222222222,21.9
1466,2008,84.3,87.5,0.0,0.0,20.6,0.0,0.0,0.0,0.0,0.23542857142857143,20.6
1467,2009,89.6,92.8,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.25,23.2
1468,2010,95.7,99.1,0.0,0.0,23.1,0.0,0.0,0.0,0.0,0.23309788092835523,23.1
1469,2011,97.2,100.4,0.0,0.0,35.8,0.0,0.0,0.0,0.0,0.35657370517928283,35.8
1470,2012,97.9,101.55,0.0,0.0,26.75,0.0,0.0,0.0,0.0,0.2634170359428853,26.75
1471,2013,97.27,100.7,0.0,0.0,36.71,0.0,0.0,0.0,0.0,0.36454816285998015,36.71
1472,2014,99.03,102.43,0.0,0.0,30.64,0.0,0.0,0.0,0.0,0.29913111393146535,30.64
