,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1473,1990,3501.0,3698.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.12141698215251487,449.0
1474,1991,3721.0,3895.0,0.0,0.0,634.0,0.0,0.0,0.0,0.0,0.16277278562259306,634.0
1475,1992,5348.0,5581.0,0.0,0.0,2198.0,0.0,0.0,0.0,0.0,0.39383623006629637,2198.0
1476,1993,5649.0,5874.0,0.0,0.0,1764.0,0.0,0.0,0.0,0.0,0.3003064351378958,1764.0
1477,1994,5945.0,6182.0,0.0,0.0,1875.0,0.0,0.0,0.0,0.0,0.3032999029440311,1875.0
1478,1995,5248.0,5477.0,0.0,0.0,1672.0,0.0,0.0,0.0,0.0,0.3052766112835494,1672.0
1479,1996,6373.0,6615.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.30536659108087677,2020.0
1480,1997,6960.0,7236.0,0.0,0.0,2196.0,0.0,0.0,0.0,0.0,0.3034825870646766,2196.0
1481,1998,7411.0,7693.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,0.09528142467177954,733.0
1482,1999,7392.0,7676.0,0.0,0.0,1099.0,0.0,0.0,0.0,0.0,0.1431735278791037,1099.0
1483,2000,8217.0,8538.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.08924806746310611,762.0
1484,2001,9936.0,10307.0,0.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0540409430484137,557.0
1485,2002,11096.0,11510.0,0.0,0.0,878.0,0.0,0.0,0.0,0.0,0.07628149435273675,878.0
1486,2003,13030.0,13265.0,0.0,0.0,1193.0,0.0,0.0,0.0,0.0,0.08993592159819072,1193.0
1487,2004,11555.0,11795.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.13565069944891903,1600.0
1488,2005,12331.0,12623.0,0.0,0.0,1908.0,0.0,0.0,0.0,0.0,0.1511526578467876,1908.0
1489,2006,13368.0,13780.0,0.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.1269956458635704,1750.0
1490,2007,13885.46,14348.63,0.0,0.0,1681.22,0.0,0.0,0.0,0.0,0.11716937435838823,1681.22
1491,2008,14841.81,15286.76,0.0,0.0,1382.46,0.0,0.0,0.0,0.0,0.09043512163466948,1382.46
1492,2009,14639.14,15059.59,0.0,0.0,1453.14,0.0,0.0,0.0,0.0,0.09649266679902972,1453.14
1493,2010,15700.74,16115.96,0.0,0.0,1416.08,0.0,0.0,0.0,0.0,0.08786817539879722,1416.08
1494,2011,16208.61,16701.03,0.0,0.0,1513.38,13.99,0.0,0.0,0.0,0.09145364088322698,1527.3700000000001
1495,2012,17235.84,17745.64,0.0,0.0,1782.89,95.82,0.0,0.0,0.0,0.10586882186272234,1878.71
1496,2013,17941.62,18799.47,0.0,0.0,1871.78,243.05,0.0,0.0,0.0,0.11249412882384449,2114.83
1497,2014,17370.18,17961.98,0.0,0.0,1266.86,243.2,0.0,0.0,0.0,0.0840697963142148,1510.06
