,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1498,1990,6242.0,6349.0,0.0,0.0,4987.0,0.0,0.0,0.0,0.0,0.7854780280359112,4987.0
1499,1991,6836.0,6974.0,0.0,0.0,5075.0,0.0,0.0,0.0,0.0,0.7277028964726125,5075.0
1500,1992,7062.0,7196.0,0.0,0.0,4974.0,0.0,0.0,0.0,0.0,0.6912173429683157,4974.0
1501,1993,7300.0,7411.0,0.0,0.0,5810.0,0.0,0.0,0.0,0.0,0.7839697746592903,5810.0
1502,1994,8033.0,8144.0,0.0,0.0,6565.0,0.0,0.0,0.0,0.0,0.806114931237721,6565.0
1503,1995,8283.0,8429.0,0.0,0.0,5161.0,0.0,0.0,0.0,0.0,0.6122909004626883,5161.0
1504,1996,9201.0,9340.0,0.0,0.0,6344.0,0.0,0.0,0.0,0.0,0.6792291220556745,6344.0
1505,1997,10204.0,10362.0,0.0,0.0,6534.0,0.0,0.0,0.0,0.0,0.6305732484076433,6534.0
1506,1998,10709.0,10890.0,0.0,0.0,6506.0,0.0,0.0,0.0,0.0,0.5974288337924701,6506.0
1507,1999,10135.0,10308.0,24.0,0.0,7177.0,0.0,0.0,0.0,0.0,0.696255335661622,7177.0
1508,2000,10449.0,10612.0,0.0,0.0,7609.0,0.0,0.0,0.0,0.0,0.7170184696569921,7609.0
1509,2001,10821.0,11050.0,22.0,0.0,7071.0,0.0,0.0,0.0,0.0,0.6399095022624435,7071.0
1510,2002,11656.0,11888.0,56.0,0.0,7525.0,0.0,0.0,0.0,0.0,0.6329912516823688,7525.0
1511,2003,12361.0,11546.0,1120.0,67.0,7181.0,0.0,0.0,0.0,0.0,0.621946994630175,7181.0
1512,2004,14265.0,12873.0,1642.0,35.0,7412.0,0.0,0.0,0.0,0.0,0.575778761749398,7412.0
1513,2005,14153.0,12717.0,1723.0,16.0,6883.0,0.0,0.0,0.0,0.0,0.5412440040890147,6883.0
1514,2006,15416.0,14148.0,1570.0,1.0,7130.0,0.0,0.0,0.0,0.0,0.5039581566299124,7130.0
1515,2007,16877.0,16361.0,861.0,38.0,9037.0,1.0,0.0,0.0,0.0,0.552411221807958,9038.0
1516,2008,18957.0,18817.0,500.0,38.0,11294.0,3.0,0.0,0.0,0.0,0.6003613753520752,11297.0
1517,2009,19004.3,18264.6,1120.8,20.8,9225.4,3.2,0.0,0.0,0.0,0.5052724943333006,9228.6
1518,2010,20044.7,19509.8,872.9,10.0,8636.4,3.4,0.0,0.0,0.0,0.44284410911439376,8639.8
1519,2011,21472.3,20544.1,1294.6,14.4,11133.1,3.3,0.1,0.0,0.0,0.5420777741541367,11136.5
1520,2012,22689.3,22848.0,238.2,11.9,12237.7,2.4,0.3,0.0,0.0,0.5357317927170868,12240.4
1521,2013,23473.6,23260.4,662.3,29.0,11038.8,56.7,3.7,0.0,0.0,0.477171501779849,11099.2
1522,2014,24581.3,24307.2,836.7,47.2,11457.9,79.7,16.5,0.0,0.0,0.47533652580305424,11554.1
