,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1523,1990,38179.0,39425.0,0.0,0.0,9975.0,0.0,0.0,0.0,0.0,0.25301204819277107,9975.0
1524,1991,43292.0,44532.0,0.0,0.0,8631.0,0.0,0.0,0.0,0.0,0.19381568310428457,8631.0
1525,1992,43850.0,45110.0,0.0,0.0,8540.0,0.0,0.0,0.0,0.0,0.1893150077588118,8540.0
1526,1993,46713.0,48510.0,0.0,0.0,10486.0,0.0,0.0,0.0,0.0,0.21616161616161617,10486.0
1527,1994,47650.0,49500.0,0.0,0.0,10737.0,0.0,0.0,0.0,0.0,0.2169090909090909,10737.0
1528,1995,50595.0,52500.0,0.0,0.0,11413.0,0.0,0.0,0.0,0.0,0.2173904761904762,11413.0
1529,1996,52937.0,54898.0,0.0,0.0,11669.0,0.0,0.0,0.0,0.0,0.21255783452949106,11669.0
1530,1997,55056.0,57075.0,0.0,0.0,11962.0,0.0,0.0,0.0,0.0,0.2095838808585195,11962.0
1531,1998,57515.0,59593.0,0.0,0.0,12187.0,0.0,0.0,0.0,0.0,0.2045038846844428,12187.0
1532,1999,62676.0,65171.0,0.0,0.0,15248.0,0.0,0.0,0.0,0.0,0.23396909668410795,15248.0
1533,2000,67417.0,70337.0,174.0,244.0,14266.0,81.0,0.0,0.0,0.0,0.20397514821502197,14347.0
1534,2001,73674.0,76808.0,214.0,391.0,13672.0,179.0,0.0,0.0,0.0,0.1803327778356421,13851.0
1535,2002,82228.0,85946.0,228.0,732.0,15130.0,213.0,0.0,0.0,0.0,0.1785190701137924,15343.0
1536,2003,93352.0,98133.0,121.0,1039.0,13019.0,368.0,0.0,0.0,0.0,0.13641690359002578,13387.0
1537,2004,100353.0,104249.0,174.0,873.0,12644.0,523.0,0.0,0.0,0.0,0.12630336981649704,13167.0
1538,2005,107689.0,111690.0,168.0,946.0,12644.0,552.0,0.0,0.0,0.0,0.11814844659324918,13196.0
1539,2006,114026.0,118407.0,208.0,557.0,12925.0,616.0,0.0,0.0,0.0,0.11435979291764845,13541.0
1540,2007,123345.0,128129.0,251.0,814.0,15510.0,831.0,0.0,0.0,0.0,0.12753553059806913,16341.0
1541,2008,129177.0,134566.0,126.0,1022.0,14682.0,931.0,0.0,0.0,0.0,0.11602485025935229,15613.0
1542,2009,137210.0,142690.0,183.0,1118.0,12863.0,1133.0,0.0,0.0,0.0,0.09808676151096783,13996.0
1543,2010,144099.0,150486.0,152.0,1595.0,13046.0,1498.0,206.0,0.0,0.0,0.09801576226359927,14750.0
1544,2011,154359.0,161162.0,102.0,1679.0,12934.0,1525.0,479.0,0.0,0.0,0.09268934364180141,14938.0
1545,2012,158826.0,164628.0,77.0,474.0,13121.0,1260.0,237.0,0.0,0.0,0.08879412979566052,14618.0
1546,2013,162149.0,168050.0,61.0,460.0,13352.0,1332.0,114.0,0.0,0.0,0.08805712585540018,14798.0
1547,2014,165710.0,177249.0,81.0,470.0,13979.0,1315.0,247.0,0.0,0.0,0.087678914972722,15541.0
