,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1548,1990,2245.0,2296.0,11.0,9.0,1673.0,0.0,0.0,419.0,0.0,0.9111498257839721,2092.0
1549,1991,2277.0,2339.0,7.0,2.0,1269.0,0.0,0.0,425.0,0.0,0.7242411286874733,1694.0
1550,1992,2413.0,2426.0,98.0,46.0,1416.0,0.0,0.0,391.0,0.0,0.7448474855729597,1807.0
1551,1993,2848.0,2833.0,90.0,11.0,1518.0,0.0,0.0,380.0,0.0,0.6699611719025768,1898.0
1552,1994,3121.0,3203.0,32.0,43.0,1448.0,0.0,0.0,407.0,0.0,0.5791445519825164,1855.0
1553,1995,3296.0,3398.0,30.0,65.0,1471.0,0.0,0.0,443.0,0.0,0.5632725132430841,1914.0
1554,1996,3422.0,3452.0,42.0,21.0,1883.0,0.0,0.0,431.0,0.0,0.6703360370799536,2314.0
1555,1997,3665.0,3643.0,106.0,18.0,1429.0,0.0,0.0,486.0,0.0,0.5256656601701895,1915.0
1556,1998,3806.0,3837.0,61.0,23.0,1566.0,0.0,0.0,451.0,0.0,0.5256710972113631,2017.0
1557,1999,3971.0,3792.0,458.0,208.0,1767.0,0.0,0.0,598.0,0.0,0.6236814345991561,2365.0
1558,2000,4438.0,3851.0,808.0,112.0,1175.0,0.0,0.0,786.0,0.0,0.5092183848351077,1961.0
1559,2001,4102.0,3908.0,353.0,44.0,1164.0,0.0,0.0,966.0,0.0,0.54503582395087,2130.0
1560,2002,4351.0,4100.0,435.0,51.0,1139.0,0.0,0.0,993.0,0.0,0.52,2132.0
1561,2003,4536.0,4370.0,428.0,103.0,1466.0,0.0,0.0,1026.0,0.0,0.5702517162471396,2492.0
1562,2004,4754.0,4505.0,466.0,84.0,1388.0,0.0,0.0,1011.0,0.0,0.532519422863485,2399.0
1563,2005,4933.0,4830.0,322.0,38.0,1669.0,0.0,0.0,1051.0,0.0,0.5631469979296067,2720.0
1564,2006,5447.0,5657.0,11.0,9.0,1962.0,0.0,0.0,1140.0,0.0,0.5483471804843557,3102.0
1565,2007,5528.0,5812.0,38.0,7.0,1739.0,0.0,0.0,1382.0,0.0,0.5369924294562973,3121.0
1566,2008,5761.0,5968.0,83.0,89.0,2038.0,0.0,0.0,1519.0,0.0,0.5960120643431636,3557.0
1567,2009,5646.0,5792.0,208.0,79.0,1505.0,0.0,0.0,1524.0,0.0,0.5229627071823204,3029.0
1568,2010,5798.0,5984.0,174.0,89.0,2084.0,0.0,0.0,1525.0,0.0,0.6031082887700535,3609.0
1569,2011,5897.0,6083.0,216.0,102.0,2011.0,0.0,0.0,1534.0,0.0,0.5827716587210258,3545.0
1570,2012,6013.0,6237.0,163.0,78.0,1847.0,0.0,0.0,1535.0,0.0,0.5422478755812089,3382.0
1571,2013,6101.0,6272.0,283.0,91.0,1790.0,0.0,0.0,1560.0,0.0,0.5341198979591837,3350.0
1572,2014,6260.0,6223.0,589.0,208.0,1718.0,0.0,0.0,1558.0,0.0,0.5264341957255343,3276.0
