,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1573,1990,29.1,29.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.06872852233676975,2.0
1574,1991,28.5,28.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.10526315789473684,3.0
1575,1992,28.5,28.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.14035087719298245,4.0
1576,1993,32.0,32.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.15625,5.0
1577,1994,33.0,33.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.18181818181818182,6.0
1578,1995,34.0,34.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.20588235294117646,7.0
1579,1996,31.0,31.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.22580645161290322,7.0
1580,1997,27.0,27.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.25925925925925924,7.0
1581,1998,34.0,34.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.20588235294117646,7.0
1582,1999,40.0,40.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.175,7.0
1583,2000,50.3,50.3,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.13916500994035785,7.0
1584,2001,84.0,93.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.41935483870967744,39.0
1585,2002,84.0,93.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.41935483870967744,39.0
1586,2003,90.0,99.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.3939393939393939,39.0
1587,2004,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1588,2005,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1589,2006,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1590,2007,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1591,2008,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1592,2009,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1593,2010,110.0,122.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.319672131147541,39.0
1594,2011,253.0,281.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.1387900355871886,39.0
1595,2012,395.0,439.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.44874715261959,197.0
1596,2013,395.0,439.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.44874715261959,197.0
1597,2014,395.0,439.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.44874715261959,197.0
